,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,19.0,7.715877875038547e-06,-2.1728308938179075,1.6253097918965537e-05,10FTHF5GLUtl
10FTHF5GLUtm_pos,5.0,8.71565594594538e-07,-3.306045918520484,4.852858114338167e-06,10FTHF5GLUtm
10FTHF6GLUtl_pos,19.0,7.715877875038547e-06,-2.154867404791646,1.6253097918965537e-05,10FTHF6GLUtl
10FTHF6GLUtm_pos,4.0,7.403996756761338e-07,-3.3536696382547935,4.852858114338167e-06,10FTHF6GLUtm
10FTHF7GLUtl_pos,19.0,7.715877875038547e-06,-2.149059746298439,1.6253097918965537e-05,10FTHF7GLUtl
10FTHF7GLUtm_pos,5.0,8.71565594594538e-07,-3.3421762661138654,4.852858114338167e-06,10FTHF7GLUtm
10FTHFtl_neg,19.0,7.715877875038547e-06,-2.1728308938179586,1.6253097918965537e-05,10FTHFtl
10FTHFtm_neg,138.0,0.4936796070723848,-0.16983580202327536,0.5108913667557666,10FTHFtm
10FTHFtm_pos,9.0,1.657232153123406e-06,-2.8020801783198137,5.233632385362613e-06,10FTHFtm
11DOCRTSLtm_pos,16.0,4.913985671500474e-06,-2.3788590872009556,1.129521501706773e-05,11DOCRTSLtm
11DOCRTSLtr_neg,16.0,4.913985671500474e-06,-2.378859087200898,1.129521501706773e-05,11DOCRTSLtr
11DOCRTSTRNtm_pos,17.0,5.717080058297835e-06,-2.2844797197051196,1.2705994341227802e-05,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,17.0,5.717080058297835e-06,-2.2844797197051583,1.2705994341227802e-05,11DOCRTSTRNtr
13DAMPPOX_pos,29.0,3.259107077597499e-05,-1.8014953917804044,5.6841036997420786e-05,13DAMPPOX
1MNCAMti_pos,9.0,1.657232153123406e-06,-2.7169079522956565,5.233632385362613e-06,1MNCAMti
1PPDCRp_pos,75.0,0.007142655849520817,-1.105081565664549,0.00900709910435897,1PPDCRp
1a25DHVITD3TRn_pos,19.0,7.715877875038547e-06,-2.3137513303062693,1.6253097918965537e-05,1a25DHVITD3TRn
24NPHte_neg,63.0,0.0021252456961388107,-1.2870467193984634,0.0028284688355164943,24NPHte
24_25DHVITD2t_pos,22.0,1.2009657071041804e-05,-2.1708955197275372,2.373483442913319e-05,24_25DHVITD2t
24_25DHVITD2tm_pos,22.0,1.2009657071041804e-05,-2.1708955197275372,2.373483442913319e-05,24_25DHVITD2tm
24_25DHVITD3t_pos,19.0,7.715877875038547e-06,-2.313098706444863,1.6253097918965537e-05,24_25DHVITD3t
24_25DHVITD3tm_pos,13.0,3.102209052989918e-06,-2.428563797896075,8.1053908985018e-06,24_25DHVITD3tm
24_25VITD2Hm_pos,22.0,1.2009657071041804e-05,-2.1708955197275372,2.373483442913319e-05,24_25VITD2Hm
24_25VITD3Hm_pos,13.0,3.102209052989918e-06,-2.428563797896038,8.1053908985018e-06,24_25VITD3Hm
25HVITD3c_pos,19.0,7.715877875038547e-06,-2.3137513303062702,1.6253097918965537e-05,25HVITD3c
2AMACHYD_pos,59.0,0.0013767069406343286,-1.3571880890187054,0.0018784063318179767,2AMACHYD
2AMACSULT_pos,3.0,6.283575377477422e-07,-3.342049594117763,4.852858114338167e-06,2AMACSULT
2AMADPTm_pos,0.0,3.818334157281001e-07,-3.8913675294062755,4.852858114338167e-06,2AMADPTm
2DR1PP_pos,25.0,1.852998601250972e-05,-1.9668948357451792,3.4293805048331836e-05,2DR1PP
2HBO_neg,0.0,3.818334157281001e-07,-3.316291128734195,4.852858114338167e-06,2HBO
2HBO_pos,26.0,2.13704144601066e-05,-1.8621521345650172,3.9186498032877383e-05,2HBO
2HBt2_neg,2.0,5.327479067501192e-07,-2.4250517047177493,4.852858114338167e-06,2HBt2
2HBt2_pos,2.0,5.327479067501192e-07,-2.4250517047177493,4.852858114338167e-06,2HBt2
2HCO3_NAt_neg,41.0,0.00016159816419197644,-1.7255131735091351,0.0002529683229516386,2HCO3_NAt
2HCO3_NAt_pos,40.0,0.0001421659071940603,-1.7508704989535322,0.0002241972697359204,2HCO3_NAt
2MB2COAc_pos,5.0,8.71565594594538e-07,-2.7408341430205994,4.852858114338167e-06,2MB2COAc
2MCITt_pos,0.0,3.818334157281001e-07,-2.773032422326846,4.852858114338167e-06,2MCITt
2OXOADOXm_pos,0.0,3.818334157281001e-07,-3.7397898101050453,4.852858114338167e-06,2OXOADOXm
2OXOADPTm_neg,0.0,3.818334157281001e-07,-3.891367529406016,4.852858114338167e-06,2OXOADPTm
2OXOADPTm_pos,15.0,4.219587632352974e-06,-1.9951210872172394,1.0252551767865904e-05,2OXOADPTm
34DHOXPEGOX_pos,0.0,3.818334157281001e-07,-3.707298521798317,4.852858114338167e-06,34DHOXPEGOX
34DHOXPEGt_pos,0.0,3.818334157281001e-07,-3.707298521798284,4.852858114338167e-06,34DHOXPEGt
34DHPHELAT1tc_pos,198.0,0.23254065440710814,0.3210239933342247,0.2503410636982538,34DHPHELAT1tc
34DHPHEt_neg,198.0,0.23254065440710814,0.3210239933342247,0.2503410636982538,34DHPHEt
34DHPHEt_pos,0.0,3.818334157281001e-07,-3.5132498182565155,4.852858114338167e-06,34DHPHEt
34DHPLACOX_NADP__neg,81.0,0.012450756563175432,-1.0407603821446352,0.015383424258764282,34DHPLACOX_NADP_
34DHPLACOX_pos,81.0,0.012450756563175432,-1.0407603821446352,0.015383424258764282,34DHPLACOX
34DHXMANDACOX_NADP__neg,81.0,0.012450756563175432,-1.0594924411161555,0.015383424258764282,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,81.0,0.012450756563175432,-1.0594924411161555,0.015383424258764282,34DHXMANDACOX
34HPLFM_pos,5.0,8.71565594594538e-07,-2.659644128361518,4.852858114338167e-06,34HPLFM
34HPPOR_pos,18.0,6.644944579423332e-06,-2.2202807574402192,1.4517299304090464e-05,34HPPOR
34HPPte_neg,114.0,0.14747011776483582,-0.5458692091361037,0.1617769202345587,34HPPte
34HPPte_pos,14.0,3.6197823930798668e-06,-2.051789415951275,9.066343405628843e-06,34HPPte
35CGMPtn_pos,0.0,3.818334157281001e-07,-2.9941071382994613,4.852858114338167e-06,35CGMPtn
3AIBTm_pos,2.0,5.327479067501192e-07,-3.1365460158831864,4.852858114338167e-06,3AIBTm
3AIB_Dtm_neg,0.0,3.818334157281001e-07,-3.1669761035669977,4.852858114338167e-06,3AIB_Dtm
3AIB_Dtm_pos,0.0,3.818334157281001e-07,-3.570581637817271,4.852858114338167e-06,3AIB_Dtm
3AIBt_pos,2.0,5.327479067501192e-07,-3.136546015882837,4.852858114338167e-06,3AIBt
3AIBtm_pos,2.0,5.327479067501192e-07,-3.136546015882837,4.852858114338167e-06,3AIBtm
3DPHBH1_pos,5.0,8.71565594594538e-07,-2.6596441283612964,4.852858114338167e-06,3DPHBH1
3DPHBH2_pos,4.0,7.403996756761338e-07,-2.6381259576734757,4.852858114338167e-06,3DPHBH2
3DSPHR_pos,10.0,1.9412968136189157e-06,-2.421958281615682,5.849471218781447e-06,3DSPHR
3HAO_pos,10.0,1.9412968136189157e-06,-2.2271284225155554,5.849471218781447e-06,3HAO
3HBCDm_pos,10.0,1.9412968136189157e-06,-3.0133315677043386,5.849471218781447e-06,3HBCDm
3HBCOAHLm_pos,0.0,3.818334157281001e-07,-2.5099676401291973,4.852858114338167e-06,3HBCOAHLm
3HBCOARc_pos,10.0,1.9412968136189157e-06,-3.0133315677050665,5.849471218781447e-06,3HBCOARc
3HCO3_NAt_neg,24.0,1.6051497646725775e-05,-2.1634881622378423,3.0113019286200222e-05,3HCO3_NAt
3HCO3_NAt_pos,28.0,2.8341608254942933e-05,-1.9702316944610045,5.03253061161972e-05,3HCO3_NAt
3HLYTCL_pos,0.0,3.818334157281001e-07,-4.759820819964339,4.852858114338167e-06,3HLYTCL
3MLDAt_pos,32.0,4.927166796986004e-05,-2.0708939716354404,8.405727495051559e-05,3MLDAt
3MOBt2im_pos,159.0,0.9872999187963021,0.10443042941110806,0.9897044485546954,3MOBt2im
3MOBte_neg,91.0,0.029202112474096775,-0.8273493984627148,0.035035725304133986,3MOBte
