,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,102.0,0.008354827335644516,-0.5607434970777992,0.020189496383064196,10FTHF5GLUtl
10FTHF5GLUtm_pos,246.0,0.21840551261012597,0.4862321461600855,0.2998610036817324,10FTHF5GLUtm
10FTHF6GLUtl_pos,102.0,0.008354827335644516,-0.5607434970777992,0.020189496383064196,10FTHF6GLUtl
10FTHF6GLUtm_pos,246.0,0.21840551261012597,0.4862321461600855,0.2998610036817324,10FTHF6GLUtm
10FTHF7GLUtl_pos,102.0,0.008354827335644516,-0.5607434970777992,0.020189496383064196,10FTHF7GLUtl
10FTHF7GLUtm_pos,246.0,0.21840551261012597,0.4862321461600855,0.2998610036817324,10FTHF7GLUtm
10FTHFtl_neg,102.0,0.008354827335644516,-0.5607434970777992,0.020189496383064196,10FTHFtl
10FTHFtm_neg,164.0,0.33691523838231996,-0.489941351511954,0.42630782424456365,10FTHFtm
10FTHFtm_pos,87.0,0.0023412726074935374,-0.8794823051278848,0.007736646227911715,10FTHFtm
11DOCRTSLtm_pos,80.0,0.001227183033996389,-0.9342930895251077,0.00461201026806404,11DOCRTSLtm
11DOCRTSLtr_neg,80.0,0.001227183033996389,-0.9342930895251077,0.00461201026806404,11DOCRTSLtr
11DOCRTSTRNtm_pos,49.0,4.6804032386338485e-05,-0.9157522391178117,0.0004676688632888901,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,49.0,4.6804032386338485e-05,-0.9157522391178117,0.0004676688632888901,11DOCRTSTRNtr
13DAMPPOX_pos,41.0,1.8074477738835562e-05,-1.5091490948421535,0.0002741658731710117,13DAMPPOX
1MNCAMti_pos,168.0,0.39417090995164517,-0.2648265242676147,0.4822751949748506,1MNCAMti
1PPDCRp_pos,75.0,0.0007578810699193657,-1.3701574599554949,0.0033479728667666015,1PPDCRp
1a25DHVITD3TRn_pos,62.0,0.0001997066750366024,-1.0221227366121326,0.001250899024234241,1a25DHVITD3TRn
24NPHte_neg,189.0,0.7763905055505131,0.15370474583365065,0.8397557100413197,24NPHte
24_25DHVITD2t_pos,206.0,0.8817307917391243,-0.17187917285716647,0.9166796587940194,24_25DHVITD2t
24_25DHVITD2tm_pos,206.0,0.8817307917391243,-0.17187917285716647,0.9166796587940194,24_25DHVITD2tm
24_25DHVITD3t_pos,62.0,0.0001997066750366024,-1.0221227366121326,0.001250899024234241,24_25DHVITD3t
24_25DHVITD3tm_pos,89.0,0.0027986021909070804,-0.76232663188919,0.008678424035349788,24_25DHVITD3tm
24_25VITD2Hm_pos,206.0,0.8817307917391243,-0.17187917285716647,0.9166796587940194,24_25VITD2Hm
24_25VITD3Hm_pos,89.0,0.0027986021909070804,-0.76232663188919,0.008678424035349788,24_25VITD3Hm
25HVITD3c_pos,62.0,0.0001997066750366024,-1.0221227366121326,0.001250899024234241,25HVITD3c
2AMACHYD_pos,1.0,7.898033666674663e-08,-2.3325635683426436,8.883477572288855e-06,2AMACHYD
2AMACSULT_pos,41.0,1.8074477738835562e-05,-1.3253561264071898,0.0002741658731710117,2AMACSULT
2AMADPTm_pos,212.0,0.7557428276359095,0.30658120686462004,0.8230797750809775,2AMADPTm
2DR1PP_pos,110.0,0.015478602442838574,-0.4704289862942919,0.03371550255282658,2DR1PP
2HBO_neg,99.0,0.006557192645280169,-0.7573414654772466,0.016577320362264523,2HBO
2HBO_pos,164.0,0.33691523838231996,-0.41681460660578484,0.42630782424456365,2HBO
2HBt2_neg,299.0,0.007711805017936966,0.3389360215783299,0.01881620642942372,2HBt2
2HBt2_pos,299.0,0.007711805017936966,0.3389360215783299,0.01881620642942372,2HBt2
2HCO3_NAt_neg,186.0,0.7149798814655983,0.32705749786734706,0.784111211467934,2HCO3_NAt
2HCO3_NAt_pos,186.0,0.7149798814655983,0.32705749786734706,0.784111211467934,2HCO3_NAt
2MB2COAc_pos,98.0,0.006040329507995924,-1.045361301260664,0.015456859452371682,2MB2COAc
2MCITt_pos,169.0,0.40935585574217404,-0.02451302272712623,0.49843232338432986,2MCITt
2OXOADOXm_pos,84.0,0.001782375537505441,-0.9214707866157965,0.0062681865969814255,2OXOADOXm
2OXOADPTm_neg,212.0,0.7557428276359095,0.30658120686462004,0.8230797750809775,2OXOADPTm
2OXOADPTm_pos,58.0,0.00012940533589153548,-1.4082874914709123,0.0009101749602650456,2OXOADPTm
34DHOXPEGOX_pos,166.0,0.364841654608659,-0.14777855296728096,0.4512137948450901,34DHOXPEGOX
34DHOXPEGt_pos,166.0,0.364841654608659,-0.14777855296728096,0.4512137948450901,34DHOXPEGt
34DHPHELAT1tc_pos,39.0,1.414879700842589e-05,-1.5115179547325968,0.0002544762204801171,34DHPHELAT1tc
34DHPHEt_neg,39.0,1.414879700842589e-05,-1.5115179547325968,0.0002544762204801171,34DHPHEt
34DHPHEt_pos,203.0,0.9460839766250224,0.09830319917705628,0.966033841501138,34DHPHEt
34DHPLACOX_NADP__neg,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,34DHPLACOX_NADP_
34DHPLACOX_pos,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,34DHPLACOX
34DHXMANDACOX_NADP__neg,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,34DHXMANDACOX
34HPLFM_pos,50.0,5.254954014186182e-05,-0.8290777137262784,0.0005089220849123387,34HPLFM
34HPPOR_pos,49.0,4.6804032386338485e-05,-1.0766794347745015,0.0004676688632888901,34HPPOR
34HPPte_neg,130.0,0.06011064176288863,-0.6828869265717354,0.10409807149859254,34HPPte
34HPPte_pos,180.0,0.5978625674290079,-0.3113355902238477,0.6836593754705912,34HPPte
35CGMPtn_pos,118.0,0.027483421975621553,-0.39368822236692325,0.0546629198535664,35CGMPtn
3AIBTm_pos,257.0,0.12643061736676814,0.290678036413778,0.19177849068043507,3AIBTm
3AIB_Dtm_neg,257.0,0.12643061736676814,0.290678036413778,0.19177849068043507,3AIB_Dtm
3AIB_Dtm_pos,215.0,0.6948910198677665,0.03231082854148518,0.7687766203985219,3AIB_Dtm
3AIBt_pos,257.0,0.12643061736676814,0.290678036413778,0.19177849068043507,3AIBt
3AIBtm_pos,257.0,0.12643061736676814,0.290678036413778,0.19177849068043507,3AIBtm
3DPHBH1_pos,50.0,5.254954014186182e-05,-0.8290777137262784,0.0005089220849123387,3DPHBH1
3DPHBH2_pos,50.0,5.254954014186182e-05,-0.8290777137262784,0.0005089220849123387,3DPHBH2
3DSPHR_pos,46.0,3.293105907732221e-05,-1.1446620680294899,0.00039485907979379674,3DSPHR
3HAO_pos,75.0,0.0007578810699193657,-1.3670125106030677,0.0033479728667666015,3HAO
3HBCDm_pos,43.0,2.3024709881112628e-05,-1.3119024417924994,0.00031508814935131304,3HBCDm
3HBCOAHLm_pos,124.0,0.04112359406047486,-0.7149894160652798,0.07636372407394963,3HBCOAHLm
3HBCOARc_pos,43.0,2.3024709881112628e-05,-1.3119024417924994,0.00031508814935131304,3HBCOARc
3HCO3_NAt_neg,186.0,0.7149798814655983,0.32705749786734706,0.784111211467934,3HCO3_NAt
3HCO3_NAt_pos,186.0,0.7149798814655983,0.32705749786734706,0.784111211467934,3HCO3_NAt
3HLYTCL_pos,294.0,0.011432829308440093,0.7326441804768248,0.026218455554328012,3HLYTCL
3MLDAt_pos,214.0,0.7149798814655983,-0.29059663528663265,0.784111211467934,3MLDAt
3MOBt2im_pos,228.0,0.4569506196695641,0.08617760241669871,0.5479055525371249,3MOBt2im
3MOBte_neg,127.0,0.04986369021054049,-0.5690367878835842,0.0895554721470335,3MOBte
3MOBte_pos,247.0,0.20845355458876536,0.2591887281703011,0.2887161993699181,3MOBte
3MOPt2im_pos,228.0,0.4569506196695641,0.08617760241669871,0.5479055525371249,3MOPt2im
3MOPte_neg,73.0,0.0006219975867469958,-1.4353686759765139,0.002921996125800253,3MOPte
3MOPte_pos,247.0,0.20845355458876536,0.2591887281703011,0.2887161993699181,3MOPte
3MOX4HOXPGALDOX_NADP__neg,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,3MOX4HOXPGALDOX_NADP_
3MOX4HOXPGALDOX_pos,163.0,0.3234817459216911,-0.3653995899738148,0.41346550062478077,3MOX4HOXPGALDOX
3SALAASPm_neg,126.0,0.04679161534600049,-0.723209940529032,0.08488565377610174,3SALAASPm
3SALACBOXL_pos,46.0,3.293105907732221e-05,-1.7079540301712888,0.00039485907979379674,3SALACBOXL
3SALAOX_pos,58.0,0.00012940533589153548,-0.7954140708660502,0.0009101749602650456,3SALAOX
3SALATAi_pos,88.0,0.002560615287144587,-1.179316160155367,0.00814094607705817,3SALATAi
3SALATAim_pos,126.0,0.04679161534600049,-0.723209940529032,0.08488565377610174,3SALATAim
3SPYRSP_pos,88.0,0.002560615287144587,-1.179316160155367,0.00814094607705817,3SPYRSP
3SPYRSPm_pos,126.0,0.04679161534600049,-0.723209940529032,0.08488565377610174,3SPYRSPm
41R1H2MAE12BOOX_pos,92.0,0.0036388262246247497,-0.409446083554435,0.010728998165813958,41R1H2MAE12BOOX
41R2A1H12BOOX_pos,166.0,0.364841654608659,-0.14777855296728096,0.4512137948450901,41R2A1H12BOOX
4ABUTtcn_pos,150.0,0.1805773768084653,-0.2552344651537993,0.25458781343993037,4ABUTtcn
4ABUTtm_neg,83.0,0.0016252575462520652,-0.8099357305441979,0.005829627494961112,4ABUTtm
4ABUTtm_pos,92.0,0.0036388262246247497,-0.5975761155105888,0.010728998165813958,4ABUTtm
4HBZCOAFm_pos,50.0,5.254954014186182e-05,-0.8290777137262784,0.0005089220849123387,4HBZCOAFm
