,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,97.0,0.00043963875262656454,2.6563670993652737,0.0008212243168499181,10FTHF5GLUtl
10FTHF5GLUtm_pos,100.0,0.00018267179110955002,3.627667898420368,0.00044918708009164743,10FTHF5GLUtm
10FTHF6GLUtl_pos,97.0,0.00043963875262656454,2.6563670993652737,0.0008212243168499181,10FTHF6GLUtl
10FTHF6GLUtm_pos,100.0,0.00018267179110955002,3.627667898420368,0.00044918708009164743,10FTHF6GLUtm
10FTHF7GLUtl_pos,97.0,0.00043963875262656454,2.6563670993652737,0.0008212243168499181,10FTHF7GLUtl
10FTHF7GLUtm_pos,100.0,0.00018267179110955002,3.627667898420368,0.00044918708009164743,10FTHF7GLUtm
10FTHFtl_neg,97.0,0.00043963875262656454,2.6563670993652737,0.0008212243168499181,10FTHFtl
10FTHFtm_neg,76.0,0.053902557169387175,0.9948570890315266,0.05989701630737728,10FTHFtm
10FTHFtm_pos,100.0,0.00018267179110955002,2.935779631235979,0.00044918708009164743,10FTHFtm
11DOCRTSLtm_pos,100.0,0.00018267179110955002,3.4581463732803877,0.00044918708009164743,11DOCRTSLtm
11DOCRTSLtr_neg,100.0,0.00018267179110955002,3.4581463732803877,0.00044918708009164743,11DOCRTSLtr
11DOCRTSTRNtm_pos,100.0,0.00018267179110955002,3.44763217534367,0.00044918708009164743,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,100.0,0.00018267179110955002,3.44763217534367,0.00044918708009164743,11DOCRTSTRNtr
13DAMPPOX_pos,100.0,0.00018267179110955002,4.338672323537278,0.00044918708009164743,13DAMPPOX
1MNCAMti_pos,100.0,0.00018267179110955002,2.799606819822757,0.00044918708009164743,1MNCAMti
1PPDCRp_pos,82.0,0.017257456083119765,1.6101492820204122,0.020692511627283604,1PPDCRp
1a25DHVITD3TRn_pos,100.0,0.00018267179110955002,3.538432334681143,0.00044918708009164743,1a25DHVITD3TRn
24NPHte_neg,100.0,0.00018267179110955002,2.460092340676062,0.00044918708009164743,24NPHte
24_25DHVITD2t_pos,100.0,0.00018267179110955002,3.477522894622155,0.00044918708009164743,24_25DHVITD2t
24_25DHVITD2tm_pos,100.0,0.00018267179110955002,3.477522894622155,0.00044918708009164743,24_25DHVITD2tm
24_25DHVITD3t_pos,100.0,0.00018267179110955002,3.538432334681143,0.00044918708009164743,24_25DHVITD3t
24_25DHVITD3tm_pos,100.0,0.00018267179110955002,3.662405556920205,0.00044918708009164743,24_25DHVITD3tm
24_25VITD2Hm_pos,100.0,0.00018267179110955002,3.477522894622155,0.00044918708009164743,24_25VITD2Hm
24_25VITD3Hm_pos,100.0,0.00018267179110955002,3.662405556920205,0.00044918708009164743,24_25VITD3Hm
25HVITD3c_pos,100.0,0.00018267179110955002,3.538432334681143,0.00044918708009164743,25HVITD3c
2AMACHYD_pos,100.0,0.00018267179110955002,2.496656724278667,0.00044918708009164743,2AMACHYD
2AMACSULT_pos,100.0,0.00018267179110955002,4.226198212995838,0.00044918708009164743,2AMACSULT
2AMADPTm_pos,97.0,0.00043963875262656454,2.698009297999575,0.0008212243168499181,2AMADPTm
2DR1PP_pos,94.0,0.0010079762403767444,2.230709996771386,0.0015363705649325923,2DR1PP
2HBO_neg,100.0,0.00018267179110955002,3.1920842209043183,0.00044918708009164743,2HBO
2HBO_pos,95.0,0.0007685389131627665,1.5249970191050977,0.001240500630348619,2HBO
2HBt2_neg,100.0,0.00018267179110955002,2.2653475141975927,0.00044918708009164743,2HBt2
2HBt2_pos,100.0,0.00018267179110955002,2.2653475141975927,0.00044918708009164743,2HBt2
2HCO3_NAt_neg,98.0,0.00032983852077799353,3.2888518565677396,0.0006560295381666569,2HCO3_NAt
2HCO3_NAt_pos,98.0,0.00032983852077799353,3.2888518565677396,0.0006560295381666569,2HCO3_NAt
2MB2COAc_pos,100.0,0.00018267179110955002,3.4386549737289682,0.00044918708009164743,2MB2COAc
2MCITt_pos,88.0,0.004586392080253494,1.5472821656248963,0.0059836970249110355,2MCITt
2OXOADOXm_pos,97.0,0.00043963875262656454,2.3407309497392697,0.0008212243168499181,2OXOADOXm
2OXOADPTm_neg,97.0,0.00043963875262656454,2.698009297999575,0.0008212243168499181,2OXOADPTm
2OXOADPTm_pos,100.0,0.00018267179110955002,3.037929436455687,0.00044918708009164743,2OXOADPTm
34DHOXPEGOX_pos,100.0,0.00018267179110955002,3.1252284925159857,0.00044918708009164743,34DHOXPEGOX
34DHOXPEGt_pos,100.0,0.00018267179110955002,3.1252284925159857,0.00044918708009164743,34DHOXPEGt
34DHPHELAT1tc_pos,96.0,0.0005828399431792743,1.6864441321207921,0.0009862842586864332,34DHPHELAT1tc
34DHPHEt_neg,96.0,0.0005828399431792743,1.6864441321207921,0.0009862842586864332,34DHPHEt
34DHPHEt_pos,94.0,0.0010079762403767444,2.28312926719368,0.0015363705649325923,34DHPHEt
34DHPLACOX_NADP__neg,100.0,0.00018267179110955002,2.3278370030684217,0.00044918708009164743,34DHPLACOX_NADP_
34DHPLACOX_pos,100.0,0.00018267179110955002,2.3278370030684217,0.00044918708009164743,34DHPLACOX
34DHXMANDACOX_NADP__neg,100.0,0.00018267179110955002,2.3278370030684217,0.00044918708009164743,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,100.0,0.00018267179110955002,2.3278370030684217,0.00044918708009164743,34DHXMANDACOX
34HPLFM_pos,100.0,0.00018267179110955002,3.6288865240262735,0.00044918708009164743,34HPLFM
34HPPOR_pos,100.0,0.00018267179110955002,4.092964340380446,0.00044918708009164743,34HPPOR
34HPPte_neg,81.0,0.0211339281291611,1.4091559124065651,0.024960239694759686,34HPPte
34HPPte_pos,91.0,0.0022022199424970783,1.7792156165088395,0.003070426254267798,34HPPte
35CGMPtn_pos,100.0,0.00018267179110955002,3.608505486845483,0.00044918708009164743,35CGMPtn
3AIBTm_pos,99.0,0.00024612812790522973,2.6999791327824108,0.0005361164585340558,3AIBTm
3AIB_Dtm_neg,99.0,0.00024612812790522973,2.6999791327824108,0.0005361164585340558,3AIB_Dtm
3AIB_Dtm_pos,96.0,0.0005828399431792743,2.6118142243131213,0.0009862842586864332,3AIB_Dtm
3AIBt_pos,99.0,0.00024612812790522973,2.6999791327824108,0.0005361164585340558,3AIBt
3AIBtm_pos,99.0,0.00024612812790522973,2.6999791327824108,0.0005361164585340558,3AIBtm
3DPHBH1_pos,100.0,0.00018267179110955002,3.6288865240262735,0.00044918708009164743,3DPHBH1
3DPHBH2_pos,100.0,0.00018267179110955002,3.6288865240262735,0.00044918708009164743,3DPHBH2
3DSPHR_pos,100.0,0.00018267179110955002,3.465816033811928,0.00044918708009164743,3DSPHR
3HAO_pos,99.0,0.00024612812790522973,2.462068372871449,0.0005361164585340558,3HAO
3HBCDm_pos,100.0,0.00018267179110955002,6.653717046857126,0.00044918708009164743,3HBCDm
3HBCOAHLm_pos,99.0,0.00024612812790522973,2.9852789196898106,0.0005361164585340558,3HBCOAHLm
3HBCOARc_pos,100.0,0.00018267179110955002,6.653717046857126,0.00044918708009164743,3HBCOARc
3HCO3_NAt_neg,98.0,0.00032983852077799353,3.2888518565677396,0.0006560295381666569,3HCO3_NAt
3HCO3_NAt_pos,98.0,0.00032983852077799353,3.2888518565677396,0.0006560295381666569,3HCO3_NAt
3HLYTCL_pos,95.0,0.0007685389131627665,2.0911415694051994,0.001240500630348619,3HLYTCL
3MLDAt_pos,100.0,0.00018267179110955002,3.0991399922724807,0.00044918708009164743,3MLDAt
