,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,35.0,7.384400408432293e-05,-1.5489792692891589,0.0001614055575384767,10FTHF5GLUtl
10FTHF5GLUtm_pos,26.0,2.13704144601066e-05,-1.9840364556846999,0.00011547361289817257,10FTHF5GLUtm
10FTHF6GLUtl_pos,35.0,7.384400408432293e-05,-1.5489792692891589,0.0001614055575384767,10FTHF6GLUtl
10FTHF6GLUtm_pos,26.0,2.13704144601066e-05,-1.9840364556846999,0.00011547361289817257,10FTHF6GLUtm
10FTHF7GLUtl_pos,35.0,7.384400408432293e-05,-1.5489792692891589,0.0001614055575384767,10FTHF7GLUtl
10FTHF7GLUtm_pos,26.0,2.13704144601066e-05,-1.9840364556846999,0.00011547361289817257,10FTHF7GLUtm
10FTHFtl_neg,35.0,7.384400408432293e-05,-1.5489792692891589,0.0001614055575384767,10FTHFtl
10FTHFtm_neg,132.0,0.3813114321568325,-0.5084106851437019,0.3951202412225943,10FTHFtm
10FTHFtm_pos,32.0,4.927166796986004e-05,-1.5201411971314767,0.0001328330406296655,10FTHFtm
11DOCRTSLtm_pos,32.0,4.927166796986004e-05,-1.7958617175921803,0.0001328330406296655,11DOCRTSLtm
11DOCRTSLtr_neg,32.0,4.927166796986004e-05,-1.7958617175921803,0.0001328330406296655,11DOCRTSLtr
11DOCRTSTRNtm_pos,32.0,4.927166796986004e-05,-1.5928367619886914,0.0001328330406296655,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,32.0,4.927166796986004e-05,-1.5928367619886914,0.0001328330406296655,11DOCRTSTRNtr
13DAMPPOX_pos,32.0,4.927166796986004e-05,-1.9273259991636713,0.0001328330406296655,13DAMPPOX
1MNCAMti_pos,31.0,4.297192229158306e-05,-1.5784369073398614,0.0001328330406296655,1MNCAMti
1PPDCRp_pos,23.0,1.3891019939050947e-05,-2.209308280341637,8.288528011026134e-05,1PPDCRp
1a25DHVITD3TRn_pos,32.0,4.927166796986004e-05,-1.849005824938864,0.0001328330406296655,1a25DHVITD3TRn
24NPHte_neg,102.0,0.06716709462993983,-0.37284335954435166,0.0747026255645709,24NPHte
24_25DHVITD2t_pos,34.0,6.458954806893046e-05,-1.8521692063853543,0.00015003365501620565,24_25DHVITD2t
24_25DHVITD2tm_pos,34.0,6.458954806893046e-05,-1.8521692063853543,0.00015003365501620565,24_25DHVITD2tm
24_25DHVITD3t_pos,32.0,4.927166796986004e-05,-1.849005824938864,0.0001328330406296655,24_25DHVITD3t
24_25DHVITD3tm_pos,32.0,4.927166796986004e-05,-1.6298173482726548,0.0001328330406296655,24_25DHVITD3tm
24_25VITD2Hm_pos,34.0,6.458954806893046e-05,-1.8521692063853543,0.00015003365501620565,24_25VITD2Hm
24_25VITD3Hm_pos,32.0,4.927166796986004e-05,-1.6298173482726548,0.0001328330406296655,24_25VITD3Hm
25HVITD3c_pos,32.0,4.927166796986004e-05,-1.849005824938864,0.0001328330406296655,25HVITD3c
2AMACHYD_pos,0.0,3.818334157281001e-07,-2.5424597476964808,6.867546720023973e-06,2AMACHYD
2AMACSULT_pos,32.0,4.927166796986004e-05,-2.1285597147469106,0.0001328330406296655,2AMACSULT
2AMADPTm_pos,39.0,0.00012495006911461987,-1.6737194022857969,0.0002362044099328925,2AMADPTm
2DR1PP_pos,39.0,0.00012495006911461987,-1.3866136739785857,0.0002362044099328925,2DR1PP
2HBO_neg,29.0,3.259107077597499e-05,-2.062680325463915,0.0001328330406296655,2HBO
2HBO_pos,64.0,0.002363332417024863,-1.0090903102112,0.003080160986577953,2HBO
2HBt2_neg,19.0,7.715877875038547e-06,-1.1004682931869234,5.086015834907608e-05,2HBt2
2HBt2_pos,19.0,7.715877875038547e-06,-1.1004682931869234,5.086015834907608e-05,2HBt2
2HCO3_NAt_neg,94.0,0.03704750994989874,-0.5184051581496347,0.04244114197172204,2HCO3_NAt
2HCO3_NAt_pos,94.0,0.03704750994989874,-0.5184051581496347,0.04244114197172204,2HCO3_NAt
2MB2COAc_pos,14.0,3.6197823930798668e-06,-2.3326596153482617,2.921350021081764e-05,2MB2COAc
2MCITt_pos,62.0,0.0019093405472766203,-0.7446854396729506,0.0025357170348325577,2MCITt
2OXOADOXm_pos,36.0,8.434297185988848e-05,-1.6873826237263991,0.00017639169696279002,2OXOADOXm
2OXOADPTm_neg,39.0,0.00012495006911461987,-1.6737194022857969,0.0002362044099328925,2OXOADPTm
2OXOADPTm_pos,28.0,2.8341608254942933e-05,-2.2288194517290596,0.0001328330406296655,2OXOADPTm
34DHOXPEGOX_pos,32.0,4.927166796986004e-05,-1.0739972553652946,0.0001328330406296655,34DHOXPEGOX
34DHOXPEGt_pos,32.0,4.927166796986004e-05,-1.0739972553652946,0.0001328330406296655,34DHOXPEGt
34DHPHELAT1tc_pos,56.0,0.0009842246985925012,-1.1747192263602015,0.0013938570253407862,34DHPHELAT1tc
34DHPHEt_neg,56.0,0.0009842246985925012,-1.1747192263602015,0.0013938570253407862,34DHPHEt
34DHPHEt_pos,37.0,9.62417449791194e-05,-1.6933073244879733,0.00019511812709937411,34DHPHEt
34DHPLACOX_NADP__neg,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,34DHPLACOX_NADP_
34DHPLACOX_pos,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,34DHPLACOX
34DHXMANDACOX_NADP__neg,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,34DHXMANDACOX_NADP_
34DHXMANDACOX_pos,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,34DHXMANDACOX
34HPLFM_pos,32.0,4.927166796986004e-05,-1.4322523179524345,0.0001328330406296655,34HPLFM
34HPPOR_pos,32.0,4.927166796986004e-05,-1.8495164909246555,0.0001328330406296655,34HPPOR
34HPPte_neg,83.0,0.014873974127707482,-0.8866708079486619,0.017566916910678913,34HPPte
34HPPte_pos,35.0,7.384400408432293e-05,-1.5586296049192578,0.0001614055575384767,34HPPte
35CGMPtn_pos,32.0,4.927166796986004e-05,-1.7549742536516304,0.0001328330406296655,35CGMPtn
3AIBTm_pos,45.0,0.00026719355298303777,-1.4050891989450762,0.000439160160842878,3AIBTm
3AIB_Dtm_neg,45.0,0.00026719355298303777,-1.4050891989450762,0.000439160160842878,3AIB_Dtm
3AIB_Dtm_pos,51.0,0.0005519762454985965,-1.2355066044516905,0.000823386366211769,3AIB_Dtm
3AIBt_pos,45.0,0.00026719355298303777,-1.4050891989450762,0.000439160160842878,3AIBt
3AIBtm_pos,45.0,0.00026719355298303777,-1.4050891989450762,0.000439160160842878,3AIBtm
3DPHBH1_pos,32.0,4.927166796986004e-05,-1.4322523179524345,0.0001328330406296655,3DPHBH1
3DPHBH2_pos,32.0,4.927166796986004e-05,-1.4322523179524345,0.0001328330406296655,3DPHBH2
3DSPHR_pos,32.0,4.927166796986004e-05,-1.6846842970622906,0.0001328330406296655,3DSPHR
3HAO_pos,33.0,5.6440346457884884e-05,-2.0498380011032737,0.00014098888133031164,3HAO
3HBCDm_pos,17.0,5.717080058297835e-06,-2.3352520048220273,4.066555815478516e-05,3HBCDm
3HBCOAHLm_pos,10.0,1.9412968136189157e-06,-2.3246879254301476,1.939756101862075e-05,3HBCOAHLm
3HBCOARc_pos,17.0,5.717080058297835e-06,-2.3352520048220273,4.066555815478516e-05,3HBCOARc
3HCO3_NAt_neg,94.0,0.03704750994989874,-0.5184051581496347,0.04244114197172204,3HCO3_NAt
3HCO3_NAt_pos,94.0,0.03704750994989874,-0.5184051581496347,0.04244114197172204,3HCO3_NAt
3HLYTCL_pos,29.0,3.259107077597499e-05,-1.624530607844251,0.0001328330406296655,3HLYTCL
3MLDAt_pos,51.0,0.0005519762454985965,-1.2829078311849842,0.000823386366211769,3MLDAt
3MOBt2im_pos,184.0,0.4543759676970297,0.13871949086838542,0.46813366884661245,3MOBt2im
3MOBte_neg,77.0,0.008628130702045713,-1.162128301685341,0.010385101867949859,3MOBte
3MOBte_pos,61.0,0.00171374872223273,-1.2269319178978517,0.002300223498178046,3MOBte
3MOPt2im_pos,184.0,0.4543759676970297,0.13871949086838542,0.46813366884661245,3MOPt2im
3MOPte_neg,45.0,0.00026719355298303777,-1.8328522526385747,0.000439160160842878,3MOPte
3MOPte_pos,61.0,0.00171374872223273,-1.2269319178978517,0.002300223498178046,3MOPte
3MOX4HOXPGALDOX_NADP__neg,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,3MOX4HOXPGALDOX_NADP_
3MOX4HOXPGALDOX_pos,62.0,0.0019093405472766203,-1.1815343346972262,0.0025357170348325577,3MOX4HOXPGALDOX
3SALAASPm_neg,47.0,0.0003416019137614296,-1.6099719093267382,0.0005402974992784421,3SALAASPm
3SALACBOXL_pos,26.0,2.13704144601066e-05,-2.410224576307707,0.00011547361289817257,3SALACBOXL
3SALAOX_pos,32.0,4.927166796986004e-05,-1.3623902152717215,0.0001328330406296655,3SALAOX
3SALATAi_pos,35.0,7.384400408432293e-05,-1.7252088112109414,0.0001614055575384767,3SALATAi
3SALATAim_pos,47.0,0.0003416019137614296,-1.6099719093267382,0.0005402974992784421,3SALATAim
3SPYRSP_pos,35.0,7.384400408432293e-05,-1.7252088112109414,0.0001614055575384767,3SPYRSP
3SPYRSPm_pos,47.0,0.0003416019137614296,-1.6099719093267382,0.0005402974992784421,3SPYRSPm
41R1H2MAE12BOOX_pos,32.0,4.927166796986004e-05,-1.045600162018891,0.0001328330406296655,41R1H2MAE12BOOX
41R2A1H12BOOX_pos,32.0,4.927166796986004e-05,-1.0739972553652946,0.0001328330406296655,41R2A1H12BOOX
4ABUTtcn_pos,68.0,0.0035801011687420837,-1.0171529161981705,0.0045528761327740235,4ABUTtcn
4ABUTtm_neg,57.0,0.0011017651365777667,-0.899072050682338,0.0015412470077237868,4ABUTtm
4ABUTtm_pos,47.0,0.0003416019137614296,-0.9486934556293292,0.0005402974992784421,4ABUTtm
4HBZCOAFm_pos,32.0,4.927166796986004e-05,-1.4322523179524345,0.0001328330406296655,4HBZCOAFm
4HBZFm_pos,32.0,4.927166796986004e-05,-1.4322523179524345,0.0001328330406296655,4HBZFm
4HDEBRISOQUINEte_neg,34.0,6.458954806893046e-05,-1.7981178385811705,0.00015003365501620565,4HDEBRISOQUINEte
