	exTreg_Lymph_exTreg2_L1	Tcon_Lymph_Tcon9_L2	exTreg_Spleen_exTreg8_L1	Tcon_Spleen_Tcon5_L2	Treg_Spleen_Treg5_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	4.686963254409994	3.6429226811121915	1.6990452474279623	4.128422423225684	3.5776372674551653
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	0.038269325098628876	2.3587986041047277	1.3531127083835361	2.244271694256017	2.2999309266190004
2HBO_neg	0.038269325098628876	2.3587986041047277	1.3531127083835361	2.244271694256017	2.2999309266190004
2HBt2_pos	3.616304680744198	3.1931083431458185	3.0320818458523457	2.289790388548048	4.5153412900387195
2HBt2_neg	3.616304680744198	3.1931083431458185	3.0320818458523457	2.289790388548048	4.5153412900387195
2HCO3_NAt_pos	0.7582248541071477	0.09370397608000429	0.0	0.03508113051068432	0.27404195405896015
2HCO3_NAt_neg	0.7582248541071477	0.09370397608000429	0.0	0.03508113051068432	0.27404195405896015
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	1.1171104253141897	0.4544674850369845	1.287082360150768	0.3466826596645781	0.7700969266753024
34DHOXPEGOX_neg	1.1171104253141897	0.4544674850369845	1.287082360150768	0.3466826596645781	0.7700969266753024
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.3771971761339965	1.0237401945182534	0.9792552888027793	1.0955240214608526	1.5547881277553595
34DHPHEt_neg	1.3771971761339965	1.0237401945182534	0.9792552888027793	1.0955240214608526	1.5547881277553595
34DHPLACOX_pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
34DHPLACOX_NADP__pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
34DHPLACOX_NADP__neg	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
34DHXMANDACOX_pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
34DHXMANDACOX_NADP__pos	0.8124936169167062	0.0	1.266243504323399	0.6579154929590156	2.3568331075188804
34DHXMANDACOX_NADP__neg	0.8124936169167062	0.0	1.266243504323399	0.6579154929590156	2.3568331075188804
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.3351785301440852	0.0	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.0375589492283686	4.810207154040279	3.785976128986265	4.272554825026568	4.549675788505003
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	1.4890705740148034	0.6885611126751008	0.8693294320791698	0.247280370318549	1.359206553266458
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	1.4890705740148034	0.6885611126751008	0.8693294320791698	0.247280370318549	1.359206553266458
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
3M4HDXPAC_neg	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
3MOX4HOXPGALDOX_NADP__pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
3MOX4HOXPGALDOX_NADP__neg	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	3.412826203489701	4.446286829259232	4.345885983225837	4.692123378248114	4.865029164822857
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	2.5959783648838317	3.3226426029352694	1.2036958454034048	2.921125430805339	3.2137470787128644
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.323367347250924	4.602239615665395	3.9289781793275953	4.36159958790961	4.570881115355052
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	4.686963254409994	3.6429226811121915	1.6990452474279623	4.128422423225684	3.5776372674551653
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
4HOXPACDOX_NADP__neg	0.8824123992508087	0.0	1.266243504323399	0.6579154929590156	2.4557524207991324
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
