	Treg_Lymph_Treg7_L2	Tcon_Spleen_Tcon1_L2	Treg_Spleen_Treg1_L1	Treg_Spleen_Treg4_L2	exTreg_Spleen_exTreg7_L2
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	4.345117053508491	3.510382391256418	4.057657738648113	3.902752937478264	2.412585016891378
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	2.464994286038457	2.238117115762626	1.8446172863944381	2.191493118893572	0.8726168732289531
2HBO_neg	2.464994286038457	2.238117115762626	1.8446172863944381	2.191493118893572	0.8726168732289531
2HBt2_pos	3.9264273332299986	1.7021002456661256	3.9006360397374724	3.9220030203078244	3.246049886669066
2HBt2_neg	3.9264273332299986	1.7021002456661256	3.9006360397374724	3.9220030203078244	3.246049886669066
2HCO3_NAt_pos	0.17205318741035483	0.09704200109591665	0.39191308285134874	0.1195943411848886	0.10006224077040102
2HCO3_NAt_neg	0.17205318741035483	0.09704200109591665	0.39191308285134874	0.1195943411848886	0.10006224077040102
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.3556405735543526	0.5788000396521072	0.711123008148133	0.37635743486547996	1.1038156622550688
34DHOXPEGOX_neg	0.3556405735543526	0.5788000396521072	0.711123008148133	0.37635743486547996	1.1038156622550688
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.07083361984992	1.230315953026581	1.1575779078419757	1.1492033464759248	0.6693519867155489
34DHPHEt_neg	1.07083361984992	1.230315953026581	1.1575779078419757	1.1492033464759248	0.6693519867155489
34DHPLACOX_pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
34DHPLACOX_NADP__pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
34DHPLACOX_NADP__neg	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
34DHXMANDACOX_pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
34DHXMANDACOX_NADP__pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.8674121264983443	1.4453906852274718
34DHXMANDACOX_NADP__neg	0.17905772057977593	0.2085808256337265	1.394089098925844	1.8674121264983443	1.4453906852274718
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.13583291539661776	0.0	0.0	0.11664452589290261	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.567131051375389	4.2124048357805925	4.38171300596666	4.6250096805517344	3.787862756648765
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.9723951760085456	0.2646389538828682	1.613833616989796	0.873081941031638	1.3705423281666993
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.9723951760085456	0.2646389538828682	1.613833616989796	0.873081941031638	1.3705423281666993
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
3M4HDXPAC_neg	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
3MOX4HOXPGALDOX_NADP__pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
3MOX4HOXPGALDOX_NADP__neg	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.773169794827879	3.973896630008106	4.90913622201829	5.025638682307648	4.343357413794584
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	3.576890618056612	2.8246422992059257	3.1280887170011096	3.2313462971683924	2.0600689191058987
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.244803992195556	3.932016145965997	4.386466008025182	4.279938872954497	3.9064730269340706
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	4.345117053508491	3.510382391256418	4.057657738648113	3.902752937478264	2.412585016891378
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
4HOXPACDOX_NADP__neg	0.17905772057977593	0.2085808256337265	1.394089098925844	1.9952058664011236	1.4453906852274718
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
