	Tcon_Spleen_Tcon4_L1	exTreg_Lymph_exTreg3_L2	Tcon_Lymph_Tcon10_L1	Treg_Lymph_Treg8_L1	Tcon_Lymph_Tcon6_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	3.9049682611187944	0.09099193065460463	4.133723014785488	3.7827701136229153	2.8063002439598392
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	1.8014606035411418	0.3933246778718937	1.3871156721675237	2.6904781029214844	2.0953786716371225
2HBO_neg	1.8014606035411418	0.3933246778718937	1.3871156721675237	2.6904781029214844	2.0953786716371225
2HBt2_pos	2.5482747405446444	3.452355030949902	2.681429893714905	3.4313520906887107	1.3064018745325978
2HBt2_neg	2.5482747405446444	3.452355030949902	2.681429893714905	3.4313520906887107	1.3064018745325978
2HCO3_NAt_pos	0.09810305591361551	0.0	0.14036410765453677	0.039495135651794314	0.23995721857486582
2HCO3_NAt_neg	0.09810305591361551	0.0	0.14036410765453677	0.039495135651794314	0.23995721857486582
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.0	0.06657627645081016	0.09911628963200061	0.5453967846229538	0.0
34DHOXPEGOX_neg	0.0	0.06657627645081016	0.09911628963200061	0.5453967846229538	0.0
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.1446582376116714	0.8861501436459357	1.3063501329395328	0.8336517099231963	1.4470690349812094
34DHPHEt_neg	1.1446582376116714	0.8861501436459357	1.3063501329395328	0.8336517099231963	1.4470690349812094
34DHPLACOX_pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34DHPLACOX_NADP__pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34DHPLACOX_NADP__neg	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34DHXMANDACOX_pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34DHXMANDACOX_NADP__pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34DHXMANDACOX_NADP__neg	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.38005144969795635	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.3496007600802225	3.1401561950580867	4.467332832449253	4.585625868281155	4.250764891393492
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.25317431445149025	0.7221489613323226	0.3044673140535292	0.6692847879511208	0.18196791455572786
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.25317431445149025	0.7221489613323226	0.3044673140535292	0.6692847879511208	0.18196791455572786
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
3M4HDXPAC_neg	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
3MOX4HOXPGALDOX_NADP__pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
3MOX4HOXPGALDOX_NADP__neg	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.269900160356732	1.1700405784861405	4.313438986552196	4.504617919482312	4.627416022088666
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	2.4398224013333865	1.9637157196516417	2.889511335973453	3.1519282384250964	3.064595940183181
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.357304383119459	4.304657008733686	4.291577711722906	4.163449728123756	4.411541609937984
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.9049682611187944	0.09099193065460463	4.133723014785488	3.7827701136229153	2.8063002439598392
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
4HOXPACDOX_NADP__neg	0.6814905723548319	0.0	0.34361822153931204	0.36687492139911654	0.14603392147517502
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
