	Treg_Spleen_Treg5_L2	Tcon_Spleen_Tcon5_L1	exTreg_Spleen_exTreg8_L2	Tcon_Lymph_Tcon9_L1	exTreg_Lymph_exTreg2_L2
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	3.9700760434371913	3.988289976306199	1.4923898708617067	3.681422696092576	4.842146545799625
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	2.466037711129421	2.19053560398339	1.4048673970213403	2.265886812911971	0.28891617994195595
2HBO_neg	2.466037711129421	2.19053560398339	1.4048673970213403	2.265886812911971	0.28891617994195595
2HBt2_pos	4.559155452109385	2.353055678599333	3.1936993648031953	3.439999305881677	3.593195258974278
2HBt2_neg	4.559155452109385	2.353055678599333	3.1936993648031953	3.439999305881677	3.593195258974278
2HCO3_NAt_pos	0.2903422150923577	0.034792662477929434	0.00571656976921169	0.015948797753158474	0.5364354124529673
2HCO3_NAt_neg	0.2903422150923577	0.034792662477929434	0.00571656976921169	0.015948797753158474	0.5364354124529673
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.47347026309150214	0.4896034792684504	1.064028439720463	0.24368072483356568	1.1651448411090768
34DHOXPEGOX_neg	0.47347026309150214	0.4896034792684504	1.064028439720463	0.24368072483356568	1.1651448411090768
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.5949257836107371	1.2771743515770897	0.9902828747754469	0.9688383584932052	1.2426175915779039
34DHPHEt_neg	1.5949257836107371	1.2771743515770897	0.9902828747754469	0.9688383584932052	1.2426175915779039
34DHPLACOX_pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
34DHPLACOX_NADP__pos	2.3419926425545894	1.3011862599335862	1.0525316104863407	0.0	0.7190420498777275
34DHPLACOX_NADP__neg	2.3419926425545894	1.3011862599335862	1.0525316104863407	0.0	0.7190420498777275
34DHXMANDACOX_pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
34DHXMANDACOX_NADP__pos	2.261455780212396	1.3011862599335862	1.0525316104863407	0.0	0.7190420498777275
34DHXMANDACOX_NADP__neg	2.261455780212396	1.3011862599335862	1.0525316104863407	0.0	0.7190420498777275
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.13110405530021998	0.08977215145301587	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.528297180143841	4.40498318118994	3.6374188730069053	4.770197544328214	3.933351065587687
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	1.374253542997433	0.11972180956942845	0.715747712041222	0.9006332759824668	1.5438859136615308
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	1.374253542997433	0.11972180956942845	0.715747712041222	0.9006332759824668	1.5438859136615308
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
3M4HDXPAC_neg	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
3MOX4HOXPGALDOX_NADP__pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
3MOX4HOXPGALDOX_NADP__neg	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	5.027609300204954	4.7811840140472635	4.384242010995242	4.437868809942312	3.330545230430833
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	3.367564645839251	3.0411674334719097	1.429878722588029	3.2635293114091852	2.4116810677064877
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.41502160813087	4.194155485501762	3.954159481170094	4.616348434262493	4.416893829130013
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.9700760434371913	3.988289976306199	1.4923898708617067	3.681422696092576	4.842146545799625
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
4HOXPACDOX_NADP__neg	2.3419926425545894	1.3176958602779476	1.0525316104863407	0.10768563598055367	0.7190420498777275
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
