	Treg_Lymph_Treg7_L1	Treg_Spleen_Treg1_L2	Tcon_Spleen_Tcon1_L1	Tcon_Lymph_Tcon10_L2	exTreg_Lymph_exTreg3_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	4.044161595363718	4.159128673289625	3.5208192424340057	4.028391947953571	0.0
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	2.22841613919703	1.9349566374024272	2.3611369408582354	1.7744939365911052	0.6227600775635295
2HBO_neg	2.22841613919703	1.9349566374024272	2.3611369408582354	1.7744939365911052	0.6227600775635295
2HBt2_pos	3.7906497409239113	3.9095721565161385	1.5331914223333052	2.654113158956941	3.6692723590118073
2HBt2_neg	3.7906497409239113	3.9095721565161385	1.5331914223333052	2.654113158956941	3.6692723590118073
2HCO3_NAt_pos	0.12533827665315844	0.330548391191681	0.10938588909526435	0.18828491434374042	0.0
2HCO3_NAt_neg	0.12533827665315844	0.330548391191681	0.10938588909526435	0.18828491434374042	0.0
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.3523660495711747	0.47162866558546884	0.2837015202474663	0.09905792697756056	0.0
34DHOXPEGOX_neg	0.3523660495711747	0.47162866558546884	0.2837015202474663	0.09905792697756056	0.0
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.2048342434196382	1.1316875875476533	1.1984705869130983	1.580796588835141	0.9489962218197356
34DHPHEt_neg	1.2048342434196382	1.1316875875476533	1.1984705869130983	1.580796588835141	0.9489962218197356
34DHPLACOX_pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
34DHPLACOX_NADP__pos	0.0	1.7312098082091323	0.5481969211018256	0.42248349323960954	0.0
34DHPLACOX_NADP__neg	0.0	1.7312098082091323	0.5481969211018256	0.42248349323960954	0.0
34DHXMANDACOX_pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
34DHXMANDACOX_NADP__pos	0.0	1.7312098082091323	0.5481969211018256	0.42248349323960954	0.0
34DHXMANDACOX_NADP__neg	0.0	1.7312098082091323	0.5481969211018256	0.42248349323960954	0.0
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.134487063858126	0.0	0.386243771437284	0.26706166166137185	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.625985004708927	4.294359528707093	4.137860870299318	4.5269921765680845	3.2443089721409533
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.9929106096962237	1.4924269260361356	0.2743043661875912	0.29230081587395473	0.8360052160923915
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.9929106096962237	1.4924269260361356	0.2743043661875912	0.29230081587395473	0.8360052160923915
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
3M4HDXPAC_neg	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
3MOX4HOXPGALDOX_NADP__pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
3MOX4HOXPGALDOX_NADP__neg	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.803604104641337	4.81238568765074	4.087004164444787	4.065592798165787	0.6676139613409992
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	3.558403892984295	3.28883711276973	2.9803890653107636	2.661364208552681	2.097255726922285
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.220621027164223	4.1695932628683305	3.9667057833333392	4.374794982639593	4.34075905174165
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	4.044161595363718	4.159128673289625	3.5208192424340057	4.028391947953571	0.0
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
4HOXPACDOX_NADP__neg	0.0	1.7312098082091323	0.5705972731964138	0.42248349323960954	0.0
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
