	Tcon_Spleen_Tcon4_L2	exTreg_Spleen_exTreg7_L1	Treg_Spleen_Treg4_L1	Treg_Lymph_Treg8_L2	Tcon_Lymph_Tcon6_L2
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	3.8699129940752104	2.123334436441202	4.045636093041465	3.799541699925074	3.2732878353016543
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	1.798914292519872	0.8541961083956967	2.156836871075535	2.2884805541045727	1.8576817797943999
2HBO_neg	1.798914292519872	0.8541961083956967	2.156836871075535	2.2884805541045727	1.8576817797943999
2HBt2_pos	2.708782753198535	3.3860740898290267	3.9432830732193778	3.428792125420767	1.960989223935199
2HBt2_neg	2.708782753198535	3.3860740898290267	3.9432830732193778	3.428792125420767	1.960989223935199
2HCO3_NAt_pos	0.09539640296632437	0.10397969021824383	0.2925057299642363	0.13502787136369682	0.1964728307053078
2HCO3_NAt_neg	0.09539640296632437	0.10397969021824383	0.2925057299642363	0.13502787136369682	0.1964728307053078
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.15966665924136383	1.3637920476496848	0.55822692449737	0.3010205964111481	0.15305123133738174
34DHOXPEGOX_neg	0.15966665924136383	1.3637920476496848	0.55822692449737	0.3010205964111481	0.15305123133738174
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.009236599386745	0.7917604164917921	1.1197304469227236	0.8399909178109701	1.4818160658799966
34DHPHEt_neg	1.009236599386745	0.7917604164917921	1.1197304469227236	0.8399909178109701	1.4818160658799966
34DHPLACOX_pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
34DHPLACOX_NADP__pos	0.6352369794019268	1.4777890184012872	2.1754772396761655	0.19689765367038534	0.07529412831626733
34DHPLACOX_NADP__neg	0.6352369794019268	1.4777890184012872	2.1754772396761655	0.19689765367038534	0.07529412831626733
34DHXMANDACOX_pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
34DHXMANDACOX_NADP__pos	0.6352369794019268	1.4777890184012872	2.120997724024799	0.19689765367038534	0.07529412831626733
34DHXMANDACOX_NADP__neg	0.6352369794019268	1.4777890184012872	2.120997724024799	0.19689765367038534	0.07529412831626733
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.11560135976009683	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.273773121524127	3.7829641261984763	4.618897028082039	4.494450939351866	4.295249593042722
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.20209021504236446	1.302074603040869	0.9175250037536877	0.8324828417377809	0.2220977826194444
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.20209021504236446	1.302074603040869	0.9175250037536877	0.8324828417377809	0.2220977826194444
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
3M4HDXPAC_neg	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
3MOX4HOXPGALDOX_NADP__pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
3MOX4HOXPGALDOX_NADP__neg	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.225735062627101	4.261887663622011	4.9757893292703	4.694701549356012	4.537258084319857
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	2.457561662626507	2.3108747939615912	3.4087491398148146	3.324372641714643	2.9942805267536525
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.519597694081929	3.853431245481582	4.331602556955126	3.962825236027119	4.4337851739289516
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.8699129940752104	2.123334436441202	4.045636093041465	3.799541699925074	3.2732878353016543
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
4HOXPACDOX_NADP__neg	0.6352369794019268	1.4863459005328208	2.1754772396761655	0.19689765367038534	0.07529412831626733
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
