	exTreg_Spleen_exTreg6_L2	exTreg_Lymph_exTreg4_L2	Tcon_Lymph_Tcon7_L1	exTreg_Spleen_exTreg10_L2	Tcon_Spleen_Tcon3_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	1.0789974741177717	3.274462817374798	3.431470156444869	1.6318625731554288	4.126885345628077
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	1.4588999631098614	1.874537867254448	1.6906668718060667	1.6920980368085317	2.016302955850883
2HBO_neg	1.4588999631098614	1.874537867254448	1.6906668718060667	1.6920980368085317	2.016302955850883
2HBt2_pos	3.7799893671967264	1.5686011962856357	3.054956503726562	2.8225651625097568	2.7733855973320543
2HBt2_neg	3.7799893671967264	1.5686011962856357	3.054956503726562	2.8225651625097568	2.7733855973320543
2HCO3_NAt_pos	0.11985233497829337	0.0	0.13799763431223566	0.1829548288722275	0.14014500013905234
2HCO3_NAt_neg	0.11985233497829337	0.0	0.13799763431223566	0.1829548288722275	0.14014500013905234
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	1.2254675439498166	0.0	0.22004116777918847	1.643088650078408	0.8439553627970167
34DHOXPEGOX_neg	1.2254675439498166	0.0	0.22004116777918847	1.643088650078408	0.8439553627970167
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	0.9171363467532325	0.4321453908023614	1.4146293032900934	0.8332084159406298	1.3472943257049217
34DHPHEt_neg	0.9171363467532325	0.4321453908023614	1.4146293032900934	0.8332084159406298	1.3472943257049217
34DHPLACOX_pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
34DHPLACOX_NADP__pos	0.894178140731387	0.0	0.5047621178365855	1.3636538883637563	0.300121029582867
34DHPLACOX_NADP__neg	0.894178140731387	0.0	0.5047621178365855	1.3636538883637563	0.300121029582867
34DHXMANDACOX_pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
34DHXMANDACOX_NADP__pos	0.894178140731387	0.0	0.5047621178365855	1.3636538883637563	0.300121029582867
34DHXMANDACOX_NADP__neg	0.894178140731387	0.0	0.5047621178365855	1.3636538883637563	0.300121029582867
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	3.725030183055544	3.4541596773866963	4.480423044564671	3.719598194570547	4.61010817713383
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	1.542271629116521	0.0	0.3952213950975982	0.17172048274576773	0.10911920291644031
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	1.542271629116521	0.0	0.3952213950975982	0.17172048274576773	0.10911920291644031
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
3M4HDXPAC_neg	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
3MOX4HOXPGALDOX_NADP__pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
3MOX4HOXPGALDOX_NADP__neg	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.203605239956626	3.3710522290786087	4.0348706025312	4.18673597552232	4.149039258036232
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	1.705083043621546	2.3469011785810663	3.0450431161803984	1.394201804457397	2.3967541408305846
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.0010375872662305	3.8767044950429925	4.352132357532087	3.8437264034957237	4.0365105700541015
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	1.0789974741177717	3.274462817374798	3.431470156444869	1.6318625731554288	4.126885345628077
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
4HOXPACDOX_NADP__neg	0.894178140731387	0.0	0.5282870654444315	1.3636538883637563	0.32998739741843597
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
