	Treg_Spleen_Treg3_L2	exTreg_Lymph_exTreg1_L1	Treg_Lymph_Treg6_L2	Treg_Spleen_Treg2_L1	exTreg_Spleen_exTreg9_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	3.87784290012401	1.054874343192083	3.5752558042558262	3.385702870826962	2.9162413472950806
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	2.269463397217274	1.9699270431993212	2.150588044424981	2.039677740623106	0.3825589527700607
2HBO_neg	2.269463397217274	1.9699270431993212	2.150588044424981	2.039677740623106	0.3825589527700607
2HBt2_pos	4.276452939258297	1.0068574591703714	3.8287803864636683	4.4040882968443125	3.6318288933513654
2HBt2_neg	4.276452939258297	1.0068574591703714	3.8287803864636683	4.4040882968443125	3.6318288933513654
2HCO3_NAt_pos	0.2260794454932007	0.7146910937767293	0.21270502859888155	0.3567709520639933	0.0
2HCO3_NAt_neg	0.2260794454932007	0.7146910937767293	0.21270502859888155	0.3567709520639933	0.0
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.6996107320611474	2.472441310475467	0.6972104136375691	0.47197930005156846	0.3669409777719208
34DHOXPEGOX_neg	0.6996107320611474	2.472441310475467	0.6972104136375691	0.47197930005156846	0.3669409777719208
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.15178334271344	0.9117676038588035	0.9796368539644333	1.2957745727876644	0.3830211955083328
34DHPHEt_neg	1.15178334271344	0.9117676038588035	0.9796368539644333	1.2957745727876644	0.3830211955083328
34DHPLACOX_pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
34DHPLACOX_NADP__pos	2.2378483759360868	0.7064784461599619	0.07522513287516312	1.6895707132603106	0.680200006027117
34DHPLACOX_NADP__neg	2.2378483759360868	0.7064784461599619	0.07522513287516312	1.6895707132603106	0.680200006027117
34DHXMANDACOX_pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
34DHXMANDACOX_NADP__pos	2.2378483759360868	0.6044222099195642	0.07522513287516312	1.561374919130687	0.680200006027117
34DHXMANDACOX_NADP__neg	2.2378483759360868	0.6044222099195642	0.07522513287516312	1.561374919130687	0.680200006027117
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	1.35338254038696	0.0	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.273351140038007	3.4806211096704445	4.686761139528353	4.379549617025824	3.845953255811165
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	1.0057672910244173	0.9110435614129537	1.0132231424551135	1.6736739418653168	0.6738968092092774
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	1.0057672910244173	0.9110435614129537	1.0132231424551135	1.6736739418653168	0.6738968092092774
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
3M4HDXPAC_neg	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
3MOX4HOXPGALDOX_NADP__pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
3MOX4HOXPGALDOX_NADP__neg	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	5.056637381762556	2.841178947068808	4.597594054335121	4.759614556533615	4.51311343086714
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	3.0742974751419623	3.415115999455151	3.499015701296064	3.176162868962181	1.6943009303845453
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.353679844046219	3.617562360687751	4.352850944378382	4.458032110807624	3.9764030270023403
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.87784290012401	1.054874343192083	3.5752558042558262	3.385702870826962	2.9162413472950806
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
4HOXPACDOX_NADP__neg	2.2378483759360868	0.7064784461599619	0.10751449850249371	1.6895707132603106	0.680200006027117
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
