	Tcon_Spleen_Tcon2_L2	exTreg_Lymph_exTreg5_L1	Tcon_Lymph_Tcon8_L2	exTreg_Spleen_exTreg6_L1	Treg_Spleen_Treg3_L1
10FTHF5GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF5GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF6GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHF7GLUtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtl_neg	0.0	0.0	0.0	0.0	0.0
10FTHFtm_pos	0.0	0.0	0.0	0.0	0.0
10FTHFtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtr_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtr_neg	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	3.2128133401994368	0.0	3.979385821552863	1.177644521469833	3.794480166900902
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0
2HBO_pos	2.0385815609755067	2.153594159672963	1.8752355949435322	1.5266143693299516	2.2847285944126003
2HBO_neg	2.0385815609755067	2.153594159672963	1.8752355949435322	1.5266143693299516	2.2847285944126003
2HBt2_pos	2.4694157399170367	3.4556893494096155	2.933299077913488	3.751164822665501	4.137604621980843
2HBt2_neg	2.4694157399170367	3.4556893494096155	2.933299077913488	3.751164822665501	4.137604621980843
2HCO3_NAt_pos	0.04467672979942958	0.25178165680588227	0.07083154232046086	0.09597129687034155	0.27883322601813093
2HCO3_NAt_neg	0.04467672979942958	0.25178165680588227	0.07083154232046086	0.09597129687034155	0.27883322601813093
2MCITt_pos	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	0.7104646554952004	0.609806168428954	0.22144629513758987	1.1283300467143584	0.517909614984703
34DHOXPEGOX_neg	0.7104646554952004	0.609806168428954	0.22144629513758987	1.1283300467143584	0.517909614984703
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.1146758838920432	0.8043538627748914	1.487633454038076	0.8379728469001605	0.9363223625649777
34DHPHEt_neg	1.1146758838920432	0.8043538627748914	1.487633454038076	0.8379728469001605	0.9363223625649777
34DHPLACOX_pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
34DHPLACOX_NADP__pos	1.1031936376220097	0.0	0.14404752899469916	0.9237441503610402	1.5226638957550065
34DHPLACOX_NADP__neg	1.1031936376220097	0.0	0.14404752899469916	0.9237441503610402	1.5226638957550065
34DHXMANDACOX_pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
34DHXMANDACOX_NADP__pos	0.864209161809382	0.0	0.14404752899469916	0.9237441503610402	1.5226638957550065
34DHXMANDACOX_NADP__neg	0.864209161809382	0.0	0.14404752899469916	0.9237441503610402	1.5226638957550065
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.0	0.0	0.12097433232130644
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.381212382407763	3.842043577869002	4.434002044841072	3.7673743044885493	4.277172518621361
3HAO_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.17301975642920606	0.9749452611568276	0.2430278664716965	1.4912154586376365	1.184532727142284
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.17301975642920606	0.9749452611568276	0.2430278664716965	1.4912154586376365	1.184532727142284
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
3M4HDXPAC_neg	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
3MOX4HOXPGALDOX_NADP__pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
3MOX4HOXPGALDOX_NADP__neg	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.270839777531261	3.7161318983669553	4.34001192188929	4.208803732118257	4.984864535283093
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	3.0730181025256367	2.7095608644755442	3.16040569727828	1.673968693200848	3.160703135289826
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.151211131295645	3.6439291767559703	4.5055898684423585	3.919770062580952	4.3780064042652285
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.2128133401994368	0.0	3.979385821552863	1.177644521469833	3.794480166900902
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
4HOXPACDOX_NADP__neg	1.119463035446239	0.0	0.14404752899469916	0.9237441503610402	1.535699141378892
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
