	Tcon_Lymph_Tcon10_L1
10FTHF5GLUtl_pos	3849.2034360140588
10FTHF5GLUtm_pos	6314.181234793686
10FTHF6GLUtl_pos	4646.179412096717
10FTHF6GLUtm_pos	6706.061374515614
10FTHF7GLUtl_pos	5177.496729485153
10FTHF7GLUtm_pos	6968.251001803198
10FTHFtl_neg	3849.2034360140588
10FTHFtl_pos	0.0
10FTHFtm_neg	10671.396145885537
10FTHFtm_pos	22660.247932649425
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	69702.17396685125
11DOCRTSLtr_neg	69702.17396685125
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	72439.24732329421
11DOCRTSTRNtr_neg	72439.24732329421
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47388.446593173445
1MNCAMti_pos	60.91410867334707
1PPDCRp_pos	74.08169584231806
1a25DHVITD3TRn_pos	66695.63295327703
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.09693544985974
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.68737275947004
24_25DHVITD2tm_pos	13.68737275947004
24_25DHVITD3t_pos	66602.98534911034
24_25DHVITD3tm_pos	69574.2482547301
24_25VITD2Hm_pos	13.68737275947004
24_25VITD3Hm_pos	69574.24825473009
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	66695.63295327692
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11099.180769841789
2AMACSULT_pos	28914.4097154135
2AMADPTm_pos	8166.9537105240815
2DR1PP_pos	6334.390244775988
2HBO_neg	16289.43185890198
2HBO_pos	11.328032142337115
2HBt2_neg	1461.6681241976614
2HBt2_pos	1461.6681241976614
2HCO3_NAt_neg	1401.114782921057
2HCO3_NAt_pos	1401.114782921057
2MB2COAc_neg	0.0
2MB2COAc_pos	19902.58402608057
2MCITt_neg	0.0
2MCITt_pos	25071.528099347666
2OXOADOXm_pos	128.7582087233506
2OXOADPTm_neg	8166.953710524082
2OXOADPTm_pos	150.16432693877383
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45995.30006092921
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45995.30006092921
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	803.5007953480228
34DHPHEt_neg	803.5007953480228
34DHPHEt_pos	4.860962308195191
34DHPLACOX_NADP__neg	1832.3805945400172
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1832.3805945400172
34DHXMANDACOX_NADP__neg	1832.3805945400172
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1832.3805945400172
34HPLFM_pos	74671.04001270895
34HPPOR_pos	66274.94460850765
34HPPte_neg	11058.761088488098
34HPPte_pos	7621.848384235201
35CGMPtn_neg	0.0
35CGMPtn_pos	14843.97461997909
3AIBTm_neg	0.0
3AIBTm_pos	19142.569126254264
3AIB_Dtm_neg	19012.56407151904
3AIB_Dtm_pos	33822.80233287929
3AIBt_pos	19142.569126254264
3AIBtm_pos	19142.569126254264
3DPHBH1_pos	74671.04001270897
3DPHBH2_pos	74674.61283758785
3DSPHR_pos	30103.106666047977
3HAO_pos	77.2835486798799
3HBCDm_neg	0.0
3HBCDm_pos	18268.167640871634
3HBCOAHLm_pos	24242.28524557394
3HBCOARc_neg	0.0
3HBCOARc_pos	18268.167640871634
3HCO3_NAt_neg	2032.9672383094926
3HCO3_NAt_pos	2088.551457855098
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	12131.535796299724
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	17499.851441717856
3MOBt2im_pos	6039.4273709275
3MOBte_neg	6.75417586542612
3MOBte_pos	8405.9613817014
3MOPt2im_pos	6039.4273709275
3MOPte_neg	26.255685667807064
3MOPte_pos	8403.353397156496
3MOX4HOXPGALDOX_NADP__neg	1832.3805945400172
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1832.3805945400172
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26399.531401038603
3SALAASPm_pos	0.0
3SALACBOXL_pos	12906.945878614446
3SALAOX_pos	33983.196451936245
3SALATAi_pos	21171.777085099362
3SALATAim_pos	26399.531401038603
3SPYRSP_pos	21171.777085099362
3SPYRSPm_pos	26399.531401038603
41R1H2MAE12BOOX_pos	55548.27460107807
41R2A1H12BOOX_pos	45995.30006092921
42A12BOOX_pos	0.0
4ABUTtcn_pos	13675.559658473872
4ABUTtm_neg	16448.013543397778
4ABUTtm_pos	21050.819491402715
4HBZCOAFm_pos	74671.04001270901
4HBZFm_pos	74671.04001270901
4HDEBRISOQUINEte_neg	7.6086728219138555
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	4264.092165126543
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15925.063629112874
4HPROLTASCT1_pos	2532.3210965942058
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	6039.4273709275
4MOPte_neg	8882.147829408857
4MOPte_pos	8396.581674382225
4MPTNLte_neg	0.0
4MPTNLte_pos	80089.37706741282
4MPTNLtm_neg	80089.37706741279
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.641018254547839
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	29.487383779850173
4NPHSFte_pos	0.0
4NPHSULT_pos	29.487383779850177
4NPHte_neg	0.0
4NPHte_pos	17.09693544985974
4OHPROIMINOtc_pos	2532.3210965942058
4PYRDX_pos	10940.981246906375
5ADTSTSTERONEGLCte_pos	93635.75703400368
5ADTSTSTERONEGLCtr_neg	93635.7570340037
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	13387.301012669112
5ADTSTSTERONESte_neg	9.286890569213945
5ADTSTSTERONESte_pos	73190.27669793845
5ADTSTSTERONEte_neg	75274.97817640864
5ADTSTSTERONEte_pos	8.253199784386643
5ADTSTSTERONEtr_neg	45.356325026899
5ADTSTSTERONEtr_pos	75278.70550459574
5AOPtm_neg	21939.8775242475
5AOPtm_pos	0.0
5DHFtl_pos	3849.2034360140588
5FTHFt2_neg	0.0
5FTHFt2_pos	10.79394168895383
5HLTDL_pos	10.188493447567335
5HOMEPRAZOLEte_neg	7.641018254547838
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	3800.0
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	9.476482446858382
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	21243.776574261738
5MTAte_pos	17357.86850408923
5MTHFt2_neg	2083.182247504834
5MTHFt2_pos	2083.182247504834
5MTHFt2le_neg	2266.364495009667
