	Treg_Lymph_Treg7_L1
10FTHF5GLUtl_pos	3801.9205831364475
10FTHF5GLUtm_pos	6300.365615834216
10FTHF6GLUtl_pos	4570.423748622035
10FTHF6GLUtm_pos	6685.70081521127
10FTHF7GLUtl_pos	5082.759192279093
10FTHF7GLUtm_pos	6943.914004378712
10FTHFtl_neg	3801.9205831364475
10FTHFtl_pos	0.0
10FTHFtm_neg	10663.656538836001
10FTHFtm_pos	22471.560798630955
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	69231.65548619727
11DOCRTSLtr_neg	69231.65548619728
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	72061.22777890856
11DOCRTSTRNtr_neg	72061.22777890856
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	46950.96357809758
1MNCAMti_pos	59.94400431188747
1PPDCRp_pos	73.34305530951146
1a25DHVITD3TRn_pos	66251.77617012947
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.026694068447892
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.562315222071039
24_25DHVITD2tm_pos	13.562315222071039
24_25DHVITD3t_pos	66159.12856596275
24_25DHVITD3tm_pos	69097.47633456922
24_25VITD2Hm_pos	13.562315222071039
24_25VITD3Hm_pos	69097.47633456913
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	66251.77617012929
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	10992.755643008257
2AMACSULT_pos	28642.830672453547
2AMADPTm_pos	8155.224915157197
2DR1PP_pos	6147.578551868836
2HBO_neg	16020.299464473905
2HBO_pos	11.093370337979689
2HBt2_neg	1345.397069641163
2HBt2_pos	1345.397069641163
2HCO3_NAt_neg	1376.9582848048265
2HCO3_NAt_pos	1376.9582848048265
2MB2COAc_neg	0.0
2MB2COAc_pos	19791.59582813394
2MCITt_neg	0.0
2MCITt_pos	24845.180644553442
2OXOADOXm_pos	127.61095315224851
2OXOADPTm_neg	8155.224915157197
2OXOADPTm_pos	148.57748754670047
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45225.834357977365
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45225.834357977335
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	766.0857021182946
34DHPHEt_neg	766.0857021182946
34DHPHEt_pos	4.558333516490512
34DHPLACOX_NADP__neg	2272.909099244978
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	2272.909099244978
34DHXMANDACOX_NADP__neg	2272.909099244978
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	2272.909099244978
34HPLFM_pos	74359.10472163308
34HPPOR_pos	65822.35975954171
34HPPte_neg	11023.123296079117
34HPPte_pos	7493.4140977511815
35CGMPtn_neg	0.0
35CGMPtn_pos	14224.753048604052
3AIBTm_neg	0.0
3AIBTm_pos	19036.79758026312
3AIB_Dtm_neg	18920.08291692515
3AIB_Dtm_pos	33040.3293420027
3AIBt_pos	19036.79758026312
3AIBtm_pos	19036.79758026312
3DPHBH1_pos	74359.10472163308
3DPHBH2_pos	74377.14611504745
3DSPHR_pos	29667.422993271928
3HAO_pos	76.50915261367115
3HBCDm_neg	0.0
3HBCDm_pos	18188.678858185976
3HBCOAHLm_pos	24061.454128801175
3HBCOARc_neg	0.0
3HBCOARc_pos	18188.678858185973
3HCO3_NAt_neg	1949.87576281365
3HCO3_NAt_pos	2015.2691424118975
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	11724.104243094784
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	17360.250460111252
3MOBt2im_pos	6008.614210030536
3MOBte_neg	6.685786843723753
3MOBte_pos	8221.112551275915
3MOPt2im_pos	6008.614210030536
3MOPte_neg	26.21798330701052
3MOPte_pos	8218.63693933196
3MOX4HOXPGALDOX_NADP__neg	2272.909099244978
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	2272.909099244978
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26274.358504234246
3SALAASPm_pos	0.0
3SALACBOXL_pos	12932.516908780506
3SALAOX_pos	33868.98184062884
3SALATAi_pos	21179.17795116205
3SALATAim_pos	26274.358504234253
3SPYRSP_pos	21179.17795116205
3SPYRSPm_pos	26274.358504234253
41R1H2MAE12BOOX_pos	55034.92764842201
41R2A1H12BOOX_pos	45225.83435797737
42A12BOOX_pos	0.0
4ABUTtcn_pos	13383.660448271276
4ABUTtm_neg	16422.09994480755
4ABUTtm_pos	20839.326165416016
4HBZCOAFm_pos	74359.10472163308
4HBZFm_pos	74359.10472163308
4HDEBRISOQUINEte_neg	7.087959294321533
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	4363.169901553749
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15857.000707593565
4HPROLTASCT1_pos	2355.2460215222227
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	6008.614210030536
4MOPte_neg	8890.099625700637
4MOPte_pos	8212.162414958308
4MPTNLte_neg	0.0
4MPTNLte_pos	79913.55684489655
4MPTNLtm_neg	79913.55684489655
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.614894892835108
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	29.45541071399153
4NPHSFte_pos	0.0
4NPHSULT_pos	29.455410713991526
4NPHte_neg	0.0
4NPHte_pos	17.02669406844789
4OHPROIMINOtc_pos	2355.2460215222227
4PYRDX_pos	10772.197962895825
5ADTSTSTERONEGLCte_pos	93195.97285238595
5ADTSTSTERONEGLCtr_neg	93195.97285238594
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	13063.862014689714
5ADTSTSTERONESte_neg	9.197077610778678
5ADTSTSTERONESte_pos	72701.27713094524
5ADTSTSTERONEte_neg	75021.57686961157
5ADTSTSTERONEte_pos	8.257600309054492
5ADTSTSTERONEtr_neg	44.833878673916914
5ADTSTSTERONEtr_pos	75017.65594182741
5AOPtm_neg	21729.086695385806
5AOPtm_pos	0.0
5DHFtl_pos	3801.9205831364475
5FTHFt2_neg	0.0
5FTHFt2_pos	10.713811134536853
5HLTDL_pos	8.827307556208686
5HOMEPRAZOLEte_neg	7.614894892835108
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	3800.0
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	8.964443998831323
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	21111.894483530068
5MTAte_pos	17039.538348547954
5MTHFt2_neg	2067.504944989262
5MTHFt2_pos	2042.5981022641574
5MTHFt2le_neg	2235.0098899785244
5MTHFt2le_pos	2235.0098899785244
5MTHFt_neg	2042.5981022641577
5MTHFt_pos	1900.0
5OXPROt_neg	16982.611806890345
5OXPROt_pos	9907.209376655752
5THFtl_pos	3801.920583136448
5THFtm_pos	6300.365615834215
6DHFtl_pos	4570.423748622035
6DHFtm_pos	6685.700815211269
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	69760.249113618
6HTSTSTERONEtr_neg	69760.24911361805
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4570.423748622035
6THFtm_pos	6685.700815211269
7DHCHSTEROLtr_neg	12700.345898034771
7DHCHSTEROLtr_pos	111739.51151171773
7DHFtl_pos	5082.7591922790925
7DHFtm_pos	6943.914004378711
7THFtl_pos	5082.759192279093
7THFtm_pos	6943.914004378712
A4GALTc_pos	0.0
A4GALTg_pos	15351.692809518227
A4GNT1g_pos	0.0
A4GNT2g_pos	324.82533668616907
AACOAT_pos	10074.714211850836
AACTOOR_pos	17731.93622495429
AACTtm_pos	17731.93622495429
AASAD3m_pos	53.66450955811264
AATAi_neg	8155.224915157195
AATAi_pos	73.34305530951146
ABO1g_pos	13974.820873710283
ABO2g_pos	12986.73764443153
ABO3g_pos	13476.729461665003
ABO4g_pos	12818.78145221978
ABO5g_pos	12818.78145221978
ABO6g_pos	12161.803501506012
ABO7g_pos	12161.803501506012
ABO8g_pos	12213.46118032407
ABO9g_pos	10963.521159542099
ABTArm_neg	16422.099944807553
