	exTreg_Lymph_exTreg1_L1
10FTHF5GLUtl_pos	3725.2569869223034
10FTHF5GLUtm_pos	6294.665854589307
10FTHF6GLUtl_pos	4445.980777312493
10FTHF6GLUtm_pos	6680.346230368593
10FTHF7GLUtl_pos	4926.463304239283
10FTHF7GLUtm_pos	6937.980280186866
10FTHFtl_neg	3725.2569869223034
10FTHFtl_pos	0.0
10FTHFtm_neg	10685.118123463039
10FTHFtm_pos	22266.481400705805
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	67531.36183753572
11DOCRTSLtr_neg	67531.36183753569
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	70281.24481488549
11DOCRTSTRNtr_neg	70281.24481488552
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	46807.79583345085
1MNCAMti_pos	59.042845347435446
1PPDCRp_pos	73.74135552808457
1a25DHVITD3TRn_pos	64680.3490186977
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	16.79596179571403
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.568338781714859
24_25DHVITD2tm_pos	13.568338781714859
24_25DHVITD3t_pos	64587.64670541234
24_25DHVITD3tm_pos	67146.20919618139
24_25VITD2Hm_pos	13.568338781714859
24_25VITD3Hm_pos	67146.20919618123
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	64680.34901869752
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11396.411901278028
2AMACSULT_pos	28049.5088670074
2AMADPTm_pos	8148.263866815338
2DR1PP_pos	5751.832513692218
2HBO_neg	15885.833769091252
2HBO_pos	10.61122096302113
2HBt2_neg	1850.854103185696
2HBt2_pos	1850.854103185696
2HCO3_NAt_neg	964.2362353662256
2HCO3_NAt_pos	991.217500608871
2MB2COAc_neg	0.0
2MB2COAc_pos	19804.58903595567
2MCITt_neg	0.0
2MCITt_pos	23913.409740647425
2OXOADOXm_pos	127.04025439154698
2OXOADPTm_neg	8148.263866815338
2OXOADPTm_pos	148.41591277024173
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	42886.97657384663
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	42886.97657384663
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	826.2932622705167
34DHPHEt_neg	826.2932622705167
34DHPHEt_pos	4.781514766638884
34DHPLACOX_NADP__neg	1666.3510993463428
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1666.3510993463428
34DHXMANDACOX_NADP__neg	1701.7625469273848
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1701.7625469273848
34HPLFM_pos	71974.16306322372
34HPPOR_pos	63810.330080910375
34HPPte_neg	10913.952226286303
34HPPte_pos	7631.863593385169
35CGMPtn_neg	0.0
35CGMPtn_pos	13688.75040952415
3AIBTm_neg	0.0
3AIBTm_pos	19050.023106480807
3AIB_Dtm_neg	18936.6660017239
3AIB_Dtm_pos	32368.883714534557
3AIBt_pos	19050.02310648081
3AIBtm_pos	19050.02310648081
3DPHBH1_pos	71974.16306322372
3DPHBH2_pos	71978.83718637725
3DSPHR_pos	28808.70585826805
3HAO_pos	76.36632701756321
3HBCDm_neg	0.0
3HBCDm_pos	18227.70401102925
3HBCOAHLm_pos	24113.23175153461
3HBCOARc_neg	0.0
3HBCOARc_pos	18227.704011029244
3HCO3_NAt_neg	1620.2087802893652
3HCO3_NAt_pos	1609.4208792377517
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	11907.160817733686
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	16764.148492164008
3MOBt2im_pos	6017.739714370997
3MOBte_neg	6.850100632679736
3MOBte_pos	8444.443152053527
3MOPt2im_pos	6017.739714370997
3MOPte_neg	26.45631951188259
3MOPte_pos	8441.936894427507
3MOX4HOXPGALDOX_NADP__neg	1666.3510993463428
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1666.3510993463428
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	25873.67120066159
3SALAASPm_pos	0.0
3SALACBOXL_pos	13143.86325821298
3SALAOX_pos	33283.971328081825
3SALATAi_pos	20845.7704418351
3SALATAim_pos	25873.671200661593
3SPYRSP_pos	20845.7704418351
3SPYRSPm_pos	25873.671200661593
41R1H2MAE12BOOX_pos	51669.937604073035
41R2A1H12BOOX_pos	42886.97657384662
42A12BOOX_pos	0.0
4ABUTtcn_pos	12824.341558236516
4ABUTtm_neg	16141.015863185547
4ABUTtm_pos	20011.47510653317
4HBZCOAFm_pos	71974.16306322376
4HBZFm_pos	71974.16306322376
4HDEBRISOQUINEte_neg	7.425473812059618
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	3963.404042269338
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15533.057524805257
4HPROLTASCT1_pos	2657.4746210318626
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
