	Treg_Spleen_Treg3_L1
10FTHF5GLUtl_pos	3813.8453427496142
10FTHF5GLUtm_pos	6292.229833309123
10FTHF6GLUtl_pos	4589.664984284005
10FTHF6GLUtm_pos	6674.294804485666
10FTHF7GLUtl_pos	5106.87807864026
10FTHF7GLUtm_pos	6930.402865847379
10FTHFtl_neg	3813.8453427496142
10FTHFtl_pos	0.0
10FTHFtm_neg	10693.870512342397
10FTHFtm_pos	22507.545587424134
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	68511.49136956566
11DOCRTSLtr_neg	68511.49136956563
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	71477.59981689276
11DOCRTSTRNtr_neg	71477.59981689273
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47200.449231766215
1MNCAMti_pos	59.392526257264855
1PPDCRp_pos	73.60747061878904
1a25DHVITD3TRn_pos	65683.90984835032
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	16.98020357096977
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.449488177244046
24_25DHVITD2tm_pos	13.449488177244046
24_25DHVITD3t_pos	65591.26224418358
24_25DHVITD3tm_pos	68185.84939776377
24_25VITD2Hm_pos	13.449488177244046
24_25VITD3Hm_pos	68185.84939776374
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	65683.90984835014
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11109.70182701799
2AMACSULT_pos	28422.022380098602
2AMADPTm_pos	8156.569161706388
2DR1PP_pos	6185.616849300078
2HBO_neg	15973.584201799984
2HBO_pos	10.958562653012617
2HBt2_neg	1319.8221525009917
2HBt2_pos	1319.8221525009917
2HCO3_NAt_neg	1216.954713200777
2HCO3_NAt_pos	1216.954713200777
2MB2COAc_neg	0.0
2MB2COAc_pos	19730.89271492677
2MCITt_neg	0.0
2MCITt_pos	24763.92952867296
2OXOADOXm_pos	128.3391173337504
2OXOADPTm_neg	8156.569161706388
2OXOADPTm_pos	149.49908162325457
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	44963.792096716286
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	44963.792096716264
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	847.602139342537
34DHPHEt_neg	847.602139342537
34DHPHEt_pos	4.587987186945903
34DHPLACOX_NADP__neg	1167.6130468670212
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1167.6130468670212
34DHXMANDACOX_NADP__neg	1167.6130468670212
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1167.6130468670212
34HPLFM_pos	73769.61235015217
34HPPOR_pos	65602.53862782397
34HPPte_neg	11070.759491532537
34HPPte_pos	7574.80606385023
35CGMPtn_neg	0.0
35CGMPtn_pos	14110.683680337825
3AIBTm_neg	0.0
3AIBTm_pos	19047.026194325445
3AIB_Dtm_neg	18918.727558900435
3AIB_Dtm_pos	32873.94477115388
3AIBt_pos	19047.026194325434
3AIBtm_pos	19047.026194325434
3DPHBH1_pos	73769.61235015218
3DPHBH2_pos	73782.52335510125
3DSPHR_pos	29488.593395218144
3HAO_pos	77.31872227194522
3HBCDm_neg	0.0
3HBCDm_pos	18165.41635164305
3HBCOAHLm_pos	23845.28187621141
3HBCOARc_neg	0.0
3HBCOARc_pos	18165.41635164305
3HCO3_NAt_neg	1782.6202872530062
3HCO3_NAt_pos	1794.15269031907
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	11713.519388355428
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	16675.76245685316
3MOBt2im_pos	6041.622893608172
3MOBte_neg	6.6185372858881255
3MOBte_pos	8302.58220414658
3MOPt2im_pos	6041.622893608172
3MOPte_neg	26.15115996093042
3MOPte_pos	8300.142175356463
3MOX4HOXPGALDOX_NADP__neg	1165.6771344336714
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1165.6771344336714
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26039.95729124922
3SALAASPm_pos	0.0
3SALACBOXL_pos	12778.664299360096
3SALAOX_pos	33424.66743771862
3SALATAi_pos	20966.136727734167
3SALATAim_pos	26039.95729124921
3SPYRSP_pos	20966.136727734167
3SPYRSPm_pos	26039.95729124921
41R1H2MAE12BOOX_pos	54983.83715234409
41R2A1H12BOOX_pos	44963.79209671627
42A12BOOX_pos	0.0
4ABUTtcn_pos	13546.2397828286
4ABUTtm_neg	16329.999341785173
4ABUTtm_pos	20966.137741875784
4HBZCOAFm_pos	73769.61235015217
4HBZFm_pos	73769.61235015217
4HDEBRISOQUINEte_neg	7.138605069101356
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	3599.3002497791576
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15270.537973779088
4HPROLTASCT1_pos	2352.85997528338
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	6041.622893608172
4MOPte_neg	8896.954697509344
4MOPte_pos	8293.598725186672
4MPTNLte_neg	0.0
4MPTNLte_pos	79347.21610065579
4MPTNLtm_neg	79347.21610065576
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.600318580023397
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	29.573746869217466
4NPHSFte_pos	0.0
4NPHSULT_pos	29.573746869217462
4NPHte_neg	0.0
4NPHte_pos	16.98020357096977
4OHPROIMINOtc_pos	2352.85997528338
4PYRDX_pos	10823.44619218036
5ADTSTSTERONEGLCte_pos	92357.14346226623
5ADTSTSTERONEGLCtr_neg	92357.14346226619
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	13016.027562975547
5ADTSTSTERONESte_neg	9.275737391434035
5ADTSTSTERONESte_pos	71917.22997504468
5ADTSTSTERONEte_neg	74067.36550045063
5ADTSTSTERONEte_pos	8.201290304220716
5ADTSTSTERONEtr_neg	44.87817106006094
5ADTSTSTERONEtr_pos	74071.76275410972
5AOPtm_neg	21704.17906670341
5AOPtm_pos	0.0
5DHFtl_pos	3813.8453427496147
5FTHFt2_neg	0.0
5FTHFt2_pos	10.831626882756842
5HLTDL_pos	9.317240191913195
5HOMEPRAZOLEte_neg	7.600318580023397
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	3800.0
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	9.48356085407211
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	21113.626668621975
5MTAte_pos	17020.725412376363
5MTHFt2_neg	2078.275476826583
5MTHFt2_pos	2078.275476826583
5MTHFt2le_neg	2256.5509536531667
5MTHFt2le_pos	2256.5509536531667
5MTHFt_neg	2078.275476826583
5MTHFt_pos	1900.0
5OXPROt_neg	16533.739274704196
5OXPROt_pos	9726.866454699028
5THFtl_pos	3813.845342749615
5THFtm_pos	6292.229833309124
6DHFtl_pos	4589.664984284005
6DHFtm_pos	6674.294804485667
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	68964.49109406765
6HTSTSTERONEtr_neg	68964.49109406763
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4589.664984284004
6THFtm_pos	6674.294804485666
7DHCHSTEROLtr_neg	12723.750817832379
7DHCHSTEROLtr_pos	111325.10629201042
7DHFtl_pos	5106.878078640259
7DHFtm_pos	6930.402865847381
7THFtl_pos	5106.878078640259
7THFtm_pos	6930.402865847382
A4GALTc_pos	0.0
A4GALTg_pos	15208.517567182644
A4GNT1g_pos	0.0
A4GNT2g_pos	330.1324763122657
AACOAT_pos	10130.074249858537
AACTOOR_pos	17697.90240447144
AACTtm_pos	17697.90240447144
AASAD3m_pos	53.61201540337883
AATAi_neg	8156.569161706386
AATAi_pos	73.60747061878904
ABO1g_pos	13872.695533836293
ABO2g_pos	12879.808759961385
ABO3g_pos	13383.018308020863
ABO4g_pos	12725.986186699021
ABO5g_pos	12725.986186699021
ABO6g_pos	12058.105685737872
ABO7g_pos	12058.105685737872
ABO8g_pos	12133.088494245412
ABO9g_pos	10863.096093726439
ABTArm_neg	16329.999341785173
ABTArm_pos	20966.137741875784
ABTD_neg	5361.751548727032
ABTD_pos	9.302775271789827
ABTti_pos	5361.751548727032
ABUTD_pos	23729.1039541854
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	1647.8267803338258
ABUTt2r_pos	1683.5885664073235
ABUTt4_2_r_neg	1683.5885664073235
ABUTt4_2_r_pos	1647.8267803338258
ACACT10m_neg	24735.615895332045
ACACT10m_pos	20556.381285353214
ACACT1r_neg	19589.986218972314
ACACT1r_pos	30774.357145693783
ACACT1rm_pos	15435.738046985532
ACACT1x_pos	20633.770617435894
ACACT4p_pos	44468.13592134421
ACACT5p_pos	44468.13592134423
ACACT6p_pos	44468.1359213442
ACACT7p_pos	42835.05588532389
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	1969.0937681766065
ACACt2_pos	1969.0937681766065
ACACt2m_neg	2850.0
