Unique Associated Genes,Unique Subsystems,Unique Reactions
1700029P11RIK,Alanine and aspartate metabolism,2HBO_neg
A4GALT,Aminosugar metabolism,2HBO_pos
AACS,Androgen and estrogen synthesis and metabolism,34DHOXPEGOX_pos
AADAT,Arachidonic acid metabolism,34DHPLACOX_NADP__neg
AASS,Arginine and Proline Metabolism,34DHPLACOX_pos
ABAT,Bile acid synthesis,34DHXMANDACOX_NADP__neg
ABCB4,Biotin metabolism,34DHXMANDACOX_pos
ABCC8,Blood group synthesis,34HPPOR_pos
ABCC9,Butanoate metabolism,3DSPHR_pos
ACAA1B,Cholesterol metabolism,3HAO_pos
ACAA2,Chondroitin sulfate degradation,3HLYTCL_pos
ACACB,Citric acid cycle,3SALACBOXL_pos
ACAD11,CoA catabolism,41R1H2MAE12BOOX_pos
ACAD12,CoA synthesis,41R2A1H12BOOX_pos
ACAD8,Cysteine Metabolism,4NPHSULT_pos
ACAD9,Cytochrome metabolism,5ADTSTSTERONESULT_pos
ACADL,D-alanine metabolism,5HLTDL_pos
ACADM,Eicosanoid metabolism,A4GALTg_pos
ACADS,Fatty acid oxidation,AACOAT_pos
ACADSB,Fatty acid synthesis,AACTOOR_pos
ACADVL,Folate metabolism,AATAi_neg
ACAT1,Fructose and mannose metabolism,AATAi_pos
ACAT3,Galactose metabolism,ABTArm_neg
ACHE,Glutamate metabolism,ABTArm_pos
ACLY,Glutathione metabolism,ABUTD_pos
ACMSD,Glycerophospholipid metabolism,ACACT10m_neg
ACOT12,Glycine,ACACT10m_pos
ACOT2,Glycolysis/gluconeogenesis,ACACT1r_neg
ACOT4,Glycosphingolipid metabolism,ACACT1r_pos
ACOT6,Glyoxylate and dicarboxylate metabolism,ACACT1rm_pos
ACOT7,Heme degradation,ACACT1x_pos
ACOT8,Heme synthesis,ACACT4p_pos
ACOX1,Heparan sulfate degradation,ACACT5p_pos
ACOX2,Histidine metabolism,ACACT6p_pos
ACOX3,Hyaluronan metabolism,ACACT7p_pos
ACSBG2,Inositol phosphate metabolism,ACCOACm_pos
ACSL1,Keratan sulfate degradation,ACCOAL_pos
ACSL3,Keratan sulfate synthesis,ACGAM2E_neg
ACSL4,Limonene and pinene degradation,ACGAM2E_pos
ACSL5,Lysine metabolism,ACGAMK_pos
ACSL6,Methionine and cysteine metabolism,ACGAMPM_pos
ACSM1,Miscellaneous,ACGPID_pos
ACSS1,N-glycan degradation,ACHEe_pos
ACSS2,N-glycan synthesis,ACITL_pos
ACY3,NAD metabolism,ACNAM9PL2_pos
ADA,Nucleotide interconversion,ACNAM9PL_pos
ADCY1,Nucleotide salvage pathway,ACOAD1fm_pos
ADCY10,O-glycan synthesis,ACOAD9m_pos
ADCY2,Other,ACOAHi_pos
ADCY3,Oxidative phosphorylation,ACOAO7p_pos
ADCY4,Pentose phosphate pathway,ACOX2x_pos
ADCY5,Phenylalanine metabolism,ACS2_pos
ADCY6,Phosphatidylinositol phosphate metabolism,ACS_pos
ADCY7,Propanoate metabolism,ADA_pos
ADCY8,Purine catabolism,ADAe_pos
ADCY9,Purine synthesis,ADKd_neg
ADH1,Pyrimidine catabolism,ADKd_pos
ADH4,Pyrimidine synthesis,ADMDC_pos
ADH5,Pyruvate metabolism,ADNCYC_pos
ADH6A,ROS detoxification,ADPRDP_pos
ADH7,Sphingolipid metabolism,ADPT_pos
ADHFE1,Starch and sucrose metabolism,ADRNCPT1_pos
ADO,Steroid metabolism,ADSK_pos
