human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
1,ENSG00000121410,A1BG,protein-coding,alpha-1-B glycoprotein,ENSMUSG00000022347,117586,A1bg
2,ENSG00000175899,A2M,protein-coding,alpha-2-macroglobulin,NA,NA,NA
9,ENSG00000171428,NAT1,protein-coding,N-acetyltransferase 1,ENSMUSG00000025588,17960,Nat1
12,ENSG00000196136,SERPINA3,protein-coding,serpin family A member 3,NA,NA,NA
13,ENSG00000114771,AADAC,protein-coding,arylacetamide deacetylase,ENSMUSG00000027761,67758,Aadac
14,ENSG00000127837,AAMP,protein-coding,angio associated migratory cell protein,ENSMUSG00000006299,227290,Aamp
15,ENSG00000129673,AANAT,protein-coding,aralkylamine N-acetyltransferase,ENSMUSG00000020804,11298,Aanat
16,ENSG00000090861,AARS1,protein-coding,alanyl-tRNA synthetase 1,ENSMUSG00000031960,234734,Aars1
18,ENSG00000183044,ABAT,protein-coding,4-aminobutyrate aminotransferase,ENSMUSG00000057880,268860,Abat
19,ENSG00000165029,ABCA1,protein-coding,ATP binding cassette subfamily A member 1,ENSMUSG00000015243,11303,Abca1
20,ENSG00000107331,ABCA2,protein-coding,ATP binding cassette subfamily A member 2,ENSMUSG00000026944,11305,Abca2
21,ENSG00000167972,ABCA3,protein-coding,ATP binding cassette subfamily A member 3,NA,NA,NA
22,ENSG00000131269,ABCB7,protein-coding,ATP binding cassette subfamily B member 7,ENSMUSG00000031333,11306,Abcb7
23,ENSG00000204574,ABCF1,protein-coding,ATP binding cassette subfamily F member 1,ENSMUSG00000038762,224742,Abcf1
24,ENSG00000198691,ABCA4,protein-coding,ATP binding cassette subfamily A member 4,ENSMUSG00000028125,11304,Abca4
25,ENSG00000097007,ABL1,protein-coding,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ENSMUSG00000026842,11350,Abl1
26,ENSG00000002726,AOC1,protein-coding,amine oxidase copper containing 1,NA,NA,NA
27,ENSG00000143322,ABL2,protein-coding,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ENSMUSG00000026596,11352,Abl2
28,ENSG00000175164,ABO,protein-coding,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",ENSMUSG00000015787,80908,Abo
29,ENSG00000159842,ABR,protein-coding,ABR activator of RhoGEF and GTPase,ENSMUSG00000017631,109934,Abr
30,ENSG00000060971,ACAA1,protein-coding,acetyl-CoA acyltransferase 1,ENSMUSG00000010651,235674,Acaa1b
31,ENSG00000278540,ACACA,protein-coding,acetyl-CoA carboxylase alpha,ENSMUSG00000020532,107476,Acaca
32,ENSG00000076555,ACACB,protein-coding,acetyl-CoA carboxylase beta,ENSMUSG00000042010,100705,Acacb
33,ENSG00000115361,ACADL,protein-coding,acyl-CoA dehydrogenase long chain,ENSMUSG00000026003,11363,Acadl
34,ENSG00000117054,ACADM,protein-coding,acyl-CoA dehydrogenase medium chain,ENSMUSG00000062908,11364,Acadm
35,ENSG00000122971,ACADS,protein-coding,acyl-CoA dehydrogenase short chain,ENSMUSG00000029545,11409,Acads
36,ENSG00000196177,ACADSB,protein-coding,acyl-CoA dehydrogenase short/branched chain,ENSMUSG00000030861,66885,Acadsb
37,ENSG00000072778,ACADVL,protein-coding,acyl-CoA dehydrogenase very long chain,ENSMUSG00000018574,11370,Acadvl
38,ENSG00000075239,ACAT1,protein-coding,acetyl-CoA acetyltransferase 1,ENSMUSG00000032047,110446,Acat1
39,ENSG00000120437,ACAT2,protein-coding,acetyl-CoA acetyltransferase 2,NA,NA,NA
40,ENSG00000108684,ASIC2,protein-coding,acid sensing ion channel subunit 2,ENSMUSG00000020704,11418,Asic2
41,ENSG00000110881,ASIC1,protein-coding,acid sensing ion channel subunit 1,ENSMUSG00000023017,11419,Asic1
43,ENSG00000087085,ACHE,protein-coding,acetylcholinesterase (Yt blood group),ENSMUSG00000023328,11423,Ache
47,ENSG00000131473,ACLY,protein-coding,ATP citrate lyase,ENSMUSG00000020917,104112,Acly
48,ENSG00000122729,ACO1,protein-coding,aconitase 1,ENSMUSG00000028405,11428,Aco1
49,ENSG00000100312,ACR,protein-coding,acrosin,ENSMUSG00000022622,11434,Acr
50,ENSG00000100412,ACO2,protein-coding,aconitase 2,ENSMUSG00000022477,11429,Aco2
51,ENSG00000161533,ACOX1,protein-coding,acyl-CoA oxidase 1,ENSMUSG00000020777,11430,Acox1
52,ENSG00000143727,ACP1,protein-coding,acid phosphatase 1,ENSMUSG00000044573,11431,Acp1
53,ENSG00000134575,ACP2,protein-coding,"acid phosphatase 2, lysosomal",ENSMUSG00000002103,11432,Acp2
54,ENSG00000102575,ACP5,protein-coding,"acid phosphatase 5, tartrate resistant",ENSMUSG00000001348,11433,Acp5
55,ENSG00000014257,ACP3,protein-coding,acid phosphatase 3,ENSMUSG00000032561,56318,Acp3
56,ENSG00000134940,ACRV1,protein-coding,acrosomal vesicle protein 1,ENSMUSG00000032110,11451,Acrv1
